id,title,country_name
14819,Heavyweights,United States of America
32631,The Hunted,United States of America
11777,I.Q.,United States of America
628,Interview with the Vampire,United States of America
87729,Jefferson in Paris,United States of America
18713,The Jerky Boys,United States of America
6280,Junior,United States of America
9061,Just Cause,United States of America
37108,A Kid in King Arthur's Court,
6071,Kiss of Death,United States of America
11,Star Wars,United States of America
9587,Little Women,United States of America
19101,A Little Princess,United States of America
49980,Ladybird Ladybird,United Kingdom
17961,L'Enfer,France
18183,Like Water for Chocolate,Mexico
4476,Legends of the Fall,United States of America
11008,Major Payne,United States of America
47504,Little Odessa,United States of America
32325,Mi Vida Loca,United States of America
43742,Love Affair,United States of America
28313,Losing Isaiah,United States of America
11318,The Madness of King George,United Kingdom
3036,Mary Shelley's Frankenstein,United Kingdom
3036,Mary Shelley's Frankenstein,Japan
3036,Mary Shelley's Frankenstein,United States of America
40490,Man of the House,
24070,Mixed Nuts,United States of America
8986,Milk Money,United States of America
10510,Miracle on 34th Street,United States of America
17402,Miami Rhapsody,United States of America
38722,My Family,United States of America
8438,Murder in the First,France
8438,Murder in the First,United States of America
11593,Nobody's Fool,United States of America
1945,Nell,United States of America
39310,New Jersey Drive,United States of America
109560,New York Cop,Japan
109560,New York Cop,United States of America
56428,Beyond Bedlam,United Kingdom
63105,Nemesis 2 - Nebula,United States of America
131957,Nina Takes a Lover,
241,Natural Born Killers,United States of America
9058,Only You,United States of America
527,Once Were Warriors,New Zealand
18220,Poison Ivy II: Lily,United States of America
6950,Outbreak,United States of America
101,Leon: The Professional,France
101,Leon: The Professional,United States of America
63020,The Perez Family,United States of America
2307,A Pyromaniac's Love Story,United States of America
680,Pulp Fiction,United States of America
41478,Panther,United Kingdom
41478,Panther,United States of America
25296,Pushing Hands,Taiwan
40156,Priest,United Kingdom
11450,Quiz Show,United States of America
30304,Picture Bride,Japan
30304,Picture Bride,United States of America
10452,Queen Margot,France
10452,Queen Margot,Germany
10452,Queen Margot,Italy
12106,The Quick and the Dead,Japan
12106,The Quick and the Dead,United States of America
161495,Roommates,United States of America
3586,Prêt-à-Porter,United States of America
110,Three Colors: Red,France
110,Three Colors: Red,Poland
110,Three Colors: Red,Switzerland
108,Three Colors: Blue,France
108,Three Colors: Blue,Poland
109,Three Colors: White,France
109,Three Colors: White,Poland
159185,"Red Firecracker, Green Firecracker",China
159185,"Red Firecracker, Green Firecracker",Hong Kong
36357,Rent-a-Kid,United States of America
92769,Relative Fear,Canada
28033,Stuart Saves His Family,Germany
28033,Stuart Saves His Family,United States of America
22586,The Swan Princess,United States of America
14334,The Secret of Roan Inish,Ireland
14334,The Secret of Roan Inish,United States of America
2636,The Specialist,Peru
2636,The Specialist,United States of America
2164,Stargate,France
2164,Stargate,United States of America
11395,The Santa Clause,United States of America
278,The Shawshank Redemption,United States of America
9905,Shallow Grave,United Kingdom
87078,Suture,United States of America
12527,Strawberry and Chocolate,Cuba
12527,Strawberry and Chocolate,Spain
20306,Swimming with Sharks,United States of America
36614,The Sum of Us,Australia
27993,Senior Trip,Canada
27993,Senior Trip,United States of America
31439,To Live,China
31439,To Live,Hong Kong
9067,Tank Girl,United States of America
9059,Tales from the Crypt: Demon Knight,United States of America
193,Star Trek: Generations,United States of America
25066,Tales from the Hood,United States of America
46797,Tom & Viv,United Kingdom
46797,Tom & Viv,United States of America
12122,Village of the Damned,United States of America
11381,Tommy Boy,United States of America
32636,Vanya on 42nd Street,United States of America
36141,The Underneath,United States of America
95963,The Walking Dead,United States of America
1587,What's Eating Gilbert Grape,United States of America
9271,Virtuosity,United States of America
2064,While You Were Sleeping,United States of America
19855,The War,United States of America
60855,Double Happiness,Canada
236,Muriel's Wedding,Australia
236,Muriel's Wedding,France
48287,The Baby-Sitters Club,United States of America
3049,Ace Ventura: Pet Detective,United States of America
2759,"The Adventures of Priscilla, Queen of the Desert",Australia
12635,Backbeat,Germany
12635,Backbeat,United Kingdom
10497,Bitter Moon,France
10497,Bitter Moon,United Kingdom
10497,Bitter Moon,United States of America
11382,Bullets Over Broadway,United States of America
9331,Clear and Present Danger,United States of America
10731,The Client,United States of America
10464,"Corrina, Corrina",United States of America
34152,Crooklyn,United States of America
9495,The Crow,United States of America
29973,Cobb,United States of America
888,The Flintstones,United States of America
13,Forrest Gump,United States of America
712,Four Weddings and a Funeral,United Kingdom
16295,Higher Learning,United States of America
48992,I Like It Like That,United States of America
10879,I Love Trouble,United States of America
10660,It Could Happen to You,United States of America
10714,The Jungle Book,United States of America
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",France
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",United Kingdom
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Germany
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Belgium
8587,The Lion King,United States of America
1689,Little Buddha,France
1689,Little Buddha,Italy
1689,Little Buddha,Liechtenstein
1689,Little Buddha,United Kingdom
11596,New Nightmare,United States of America
854,The Mask,United States of America
9359,Maverick,United States of America
23333,Mrs. Parker and the Vicious Circle,United States of America
36593,The Naked Gun 33⅓: The Final Insult,United States of America
12280,The Paper,United States of America
2788,Reality Bites,United States of America
10427,Red Rock West,United States of America
11011,Ri¢hie Ri¢h,United States of America
49803,Safe Passage,United States of America
8987,The River Wild,United States of America
1637,Speed,United States of America
15128,Speechless,United States of America
8831,Timecop,Japan
8831,Timecop,United States of America
36955,True Lies,United States of America
10449,When a Man Loves a Woman,United States of America
10395,Wolf,United States of America
12160,Wyatt Earp,United States of America
40480,Bad Company,United States of America
52038,A Man of No Importance,United Kingdom
52038,A Man of No Importance,Ireland
29444,S.F.W.,United States of America
26352,A Low Down Dirty Shame,United States of America
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",United States of America
41580,Colonel Chabert,France
315,"Faster, Pussycat! Kill! Kill!",United States of America
22067,Jason's Lyric,United States of America
18242,The Secret Adventures of Tom Thumb,United Kingdom
11667,Street Fighter,Japan
11667,Street Fighter,United States of America
32502,Coldblooded,United States of America
267188,Desert Winds,
28732,Fall Time,United States of America
75555,The Fear,United States of America
42981,Frank and Ollie,United States of America
278939,Girl in the Cadillac,United States of America
291731,Homage,United States of America
226229,Mirage,
203119,Open Season,United States of America
172923,Dos Crímenes,
316098,Brother Minister: The Assassination of Malcolm X,
8011,Highlander: The Final Dimension,Canada
8011,Highlander: The Final Dimension,France
8011,Highlander: The Final Dimension,United Kingdom
171857,Federal Hill,
2654,In the Mouth of Madness,United States of America
18069,8 Seconds,United States of America
19092,Above the Rim,United States of America
2758,Addams Family Values,United States of America
38129,Martin Lawrence: You So Crazy,United States of America
10436,The Age of Innocence,United States of America
13595,Airheads,United States of America
46094,The Air Up There,United States of America
9409,Another Stakeout,United States of America
11853,Bad Girls,United States of America
16771,Barcelona,United States of America
46924,Being Human,Japan
46924,Being Human,United Kingdom
11041,The Beverly Hillbillies,United States of America
306,Beverly Hills Cop III,United States of America
14522,Black Beauty,United Kingdom
14522,Black Beauty,United States of America
26203,Blink,United States of America
178,Blown Away,United States of America
19819,Blue Chips,United States of America
57834,Blue Sky,United States of America
4722,Body Snatchers,United States of America
18215,Boxing Helena,United States of America
1607,A Bronx Tale,United States of America
26391,Cabin Boy,United States of America
117553,Calendar Girl,United States of America
6075,Carlito's Way,United States of America
11310,City Slickers II: The Legend of Curly's Gold,United States of America
18658,Clean Slate,United States of America
9350,Cliffhanger,France
9350,Cliffhanger,Italy
9350,Cliffhanger,United States of America
9612,Coneheads,United States of America
2124,Color of Night,United States of America
26261,Cops & Robbersons,United States of America
19176,The Cowboy Way,United States of America
49299,Dangerous Game,United States of America
11566,Dave,United States of America
9571,Dazed and Confused,United States of America
9739,Demolition Man,United States of America
24257,The Endless Summer 2,United States of America
34444,Even Cowgirls Get the Blues,United States of America
26141,Fatal Instinct,United States of America
10997,Farewell My Concubine,China
10997,Farewell My Concubine,Hong Kong
50463,The Favor,United States of America
10443,Fearless,United States of America
20239,Fear of a Black Hat,United Kingdom
20239,Fear of a Black Hat,United States of America
16297,With Honors,United States of America
18551,Flesh and Bone,United States of America
25440,Widows' Peak,Ireland
25440,Widows' Peak,United Kingdom
9024,For Love or Money,United States of America
37233,The Firm,United States of America
1634,Free Willy,France
1634,Free Willy,United States of America
13815,Fresh,France
13815,Fresh,United States of America
5503,The Fugitive,United States of America
35588,Geronimo: An American Legend,United States of America
2087,The Getaway,Japan
2087,The Getaway,United States of America
41579,Getting Even with Dad,United States of America
18620,Go Fish,United States of America
41006,A Good Man in Africa,South Africa
41006,A Good Man in Africa,United States of America
4916,Guilty as Sin,United States of America
2019,Hard Target,United States of America
31642,Heaven & Earth,France
31642,Heaven & Earth,United States of America
9255,Hot Shots! Part Deux,United States of America
26271,Live Nude Girls,United States of America
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,United Kingdom
2259,The House of the Spirits,Denmark
2259,The House of the Spirits,France
2259,The House of the Spirits,Germany
2259,The House of the Spirits,Portugal
2259,The House of the Spirits,United States of America
16097,House Party 3,
11934,The Hudsucker Proxy,Germany
11934,The Hudsucker Proxy,United Kingdom
11934,The Hudsucker Proxy,United States of America
106143,I'll Do Anything,United States of America
12475,In the Army Now,United States of America
9386,In the Line of Fire,United States of America
7984,In the Name of the Father,United Kingdom
7984,In the Name of the Father,Ireland
59930,The Inkwell,United States of America
15765,What's Love Got to Do with It,United States of America
31643,Jimmy Hollywood,United States of America
6,Judgment Night,Japan
6,Judgment Night,United States of America
329,Jurassic Park,United States of America
10909,Kalifornia,United States of America
507,Killing Zoe,France
507,Killing Zoe,United States of America
34024,King of the Hill,United States of America
29918,Lassie,United States of America
9593,Last Action Hero,United States of America
42580,Life With Mikey,United States of America
22317,Lightning Jack,Australia
22317,Lightning Jack,United States of America
1413,M. Butterfly,United States of America
12121,Made in America,France
12121,Made in America,United States of America
2246,Malice,United States of America
10502,The Man without a Face,United States of America
10440,Manhattan Murder Mystery,United States of America
9516,Menace II Society,United States of America
2320,Executive Decision,United States of America
5879,In the Realm of the Senses,Japan
83718,What Happened Was...,United States of America
11971,Much Ado About Nothing,United Kingdom
11971,Much Ado About Nothing,United States of America
2625,Mr. Jones,United States of America
31911,Mr. Wonderful,United States of America
788,Mrs. Doubtfire,United States of America
21450,Naked,United Kingdom
11231,The Next Karate Kid,United States of America
41588,The New Age,United States of America
10447,No Escape,United States of America
31586,North,United States of America
9300,Orlando,United Kingdom
9300,Orlando,France
9300,Orlando,Italy
9300,Orlando,Netherlands
9300,Orlando,Russia
9559,A Perfect World,United States of America
9800,Philadelphia,United States of America
713,The Piano,New Zealand
713,The Piano,Australia
713,The Piano,France
8291,Poetic Justice,United States of America
18133,The Program,United States of America
25557,The Puppet Masters,United States of America
22588,Radioland Murders,United States of America
10872,The Ref,United States of America
1245,The Remains of the Day,United Kingdom
1245,The Remains of the Day,United States of America
11858,Renaissance Man,Canada
11858,Renaissance Man,United States of America
7007,Rising Sun,United States of America
10467,The Road to Wellville,United States of America
5550,RoboCop 3,United States of America
8005,Robin Hood: Men in Tights,France
8005,Robin Hood: Men in Tights,United States of America
2088,Romeo Is Bleeding,United Kingdom
2088,Romeo Is Bleeding,United States of America
10412,Romper Stomper,Australia
47889,Ruby in Paradise,United States of America
14534,Rudy,United States of America
56583,The Saint of Fort Washington,United States of America
41878,Savage Nights,France
41878,Savage Nights,Italy
424,Schindler's List,United States of America
35233,The Scout,United States of America
14291,Searching for Bobby Fischer,United States of America
103413,Second Best,United Kingdom
103413,Second Best,United States of America
11236,The Secret Garden,United States of America
11592,Serial Mom,United States of America
8850,The Shadow,United States of America
10445,Shadowlands,United Kingdom
695,Short Cuts,United States of America
43535,A Simple Twist of Fate,United States of America
12519,Sirens,Australia
12519,Sirens,United Kingdom
23210,Six Degrees of Separation,United States of America
858,Sleepless in Seattle,United States of America
867,Sliver,United States of America
78,Blade Runner,United States of America
78,Blade Runner,Hong Kong
78,Blade Runner,United Kingdom
13203,Son in Law,United States of America
10442,So I Married an Axe Murderer,United States of America
11074,Striking Distance,United States of America
33367,Harem,
9607,Super Mario Bros.,United Kingdom
9607,Super Mario Bros.,United States of America
17585,Surviving the Game,United States of America
9057,Terminal Velocity,United States of America
20967,Thirty Two Short Films About Glenn Gould,Finland
20967,Thirty Two Short Films About Glenn Gould,Canada
20967,Thirty Two Short Films About Glenn Gould,Netherlands
20967,Thirty Two Short Films About Glenn Gould,Portugal
10635,Threesome,United States of America
9479,The Nightmare Before Christmas,United States of America
10057,The Three Musketeers,United States of America
10057,The Three Musketeers,Austria
11969,Tombstone,United States of America
41590,Trial by Jury,United States of America
319,True Romance,United States of America
26408,The War Room,United States of America
15139,The Pagemaster,United States of America
161158,"Paris, France",Canada
218473,"The Beans of Egypt, Maine",
85247,Killer,United Kingdom
85247,Killer,United States of America
85247,Killer,Canada
11446,Welcome to the Dollhouse,United States of America
51980,Germinal,Belgium
51980,Germinal,France
51980,Germinal,Italy
24405,Chasers,United States of America
11655,Cronos,Mexico
11800,Naked in New York,United States of America
8223,Kika,France
8223,Kika,Spain
14587,Bhaji on the Beach,United Kingdom
31504,Little Big League,United States of America
41653,The Slingshot,Denmark
41653,The Slingshot,Sweden
53185,Wide Eyed and Legless,
95743,Foreign Student,
23637,"Ciao, Professore!",Italy
17600,Spanking the Monkey,United States of America
10897,The Little Rascals,United States of America
349394,À la mode,
21352,Andre,United States of America
68806,The Escort,Italy
37345,Princess Caraboo,
32562,The Celluloid Closet,United States of America
47507,Café au Lait,France
47507,Café au Lait,Belgium
25403,Dear Diary,Italy
25403,Dear Diary,France
124304,I Don't Want to Talk About It,Italy
124304,I Don't Want to Talk About It,Argentina
9066,The Brady Bunch Movie,United States of America
771,Home Alone,United States of America
251,Ghost,United States of America
812,Aladdin,United States of America
280,Terminator 2: Judgment Day,France
280,Terminator 2: Judgment Day,United States of America
581,Dances with Wolves,United Kingdom
581,Dances with Wolves,United States of America
80350,Tough and Deadly,United States of America
268,Batman,United Kingdom
268,Batman,United States of America
274,The Silence of the Lambs,United States of America
408,Snow White and the Seven Dwarfs,United States of America
10020,Beauty and the Beast,United States of America
10895,Pinocchio,United States of America
114,Pretty Woman,United States of America
41043,Window to Paris,France
41043,Window to Paris,Russia
576,The Wild Bunch,United States of America
15477,Love and a .45,United States of America
59146,The Wooden Man's Bride,China
124472,A Great Day in Harlem,
30528,Bye Bye Love,United States of America
7300,One Fine Day,United States of America
10824,Candyman: Farewell to the Flesh,United States of America
261246,Century,United Kingdom
275,Fargo,United States of America
25059,Homeward Bound II: Lost in San Francisco,Canada
25059,Homeward Bound II: Lost in San Francisco,United States of America
11827,Heavy Metal,Canada
8766,Hellraiser: Bloodline,United States of America
23570,The Pallbearer,United States of America
47333,Jane Eyre,United States of America
54850,Loaded,
51242,Bread and Chocolate,Italy
10112,The Aristocats,United States of America
4307,The Flower of My Secret,Spain
46029,Two Much,Spain
46029,Two Much,United States of America
32308,Ed,United States of America
88893,Scream of Stone,
52873,My Favorite Season,France
123505,A Modern Affair,
340210,Condition Red,United States of America
44281,Halfaouine: Boy of the Terraces,France
44281,Halfaouine: Boy of the Terraces,Italy
44281,Halfaouine: Boy of the Terraces,Tunisia
28121,A Thin Line Between Love and Hate,United States of America
12520,The Last Supper,United States of America
1592,Primal Fear,United States of America
166901,Rude,
36447,Carried Away,
19042,All Dogs Go to Heaven 2,United States of America
38884,Land and Freedom,France
38884,Land and Freedom,Germany
38884,Land and Freedom,Spain
38884,Land and Freedom,United Kingdom
38884,Land and Freedom,Italy
47449,Denise Calls Up,United States of America
36259,Theodore Rex,United States of America
41852,A Family Thing,United States of America
40926,Frisk,United States of America
9099,Sgt. Bilko,United States of America
2021,Jack & Sarah,France
2021,Jack & Sarah,United Kingdom
61752,Girl 6,United States of America
10988,Diabolique,United States of America
11479,"Little Indian, Big City",France
398959,Roula,Germany
287305,Peanuts – Die Bank zahlt alles,Germany
339428,Happy Weekend,Germany
12652,Nelly and Monsieur Arnaud,Germany
12652,Nelly and Monsieur Arnaud,France
12652,Nelly and Monsieur Arnaud,Italy
10684,Courage Under Fire,United States of America
954,Mission: Impossible,United States of America
68445,Cold Fever,Iceland
68445,Cold Fever,Denmark
68445,Cold Fever,Germany
68445,Cold Fever,Japan
68445,Cold Fever,United States of America
18989,Moll Flanders,United States of America
10801,The Superwife,Germany
54285,"301, 302",South Korea
8840,DragonHeart,United States of America
278978,Und keiner weint mir nach,Germany
124625,My Mother's Courage,United Kingdom
124625,My Mother's Courage,Germany
124625,My Mother's Courage,Ireland
124625,My Mother's Courage,Austria
11107,Eddie,United States of America
16417,Yankee Zulu,South Africa
70934,Billy's Holiday,
10363,Purple Noon,France
10363,Purple Noon,Italy
161070,August,United Kingdom
161070,August,United States of America
10539,James and the Giant Peach,United States of America
10543,Fear,United States of America
18414,Kids in the Hall: Brain Candy,United States of America
18414,Kids in the Hall: Brain Candy,Canada
47502,Faithful,United States of America
11902,Underground,Serbia
11902,Underground,France
11902,Underground,Germany
11902,Underground,Hungary
11902,Underground,Czech Republic
27098,All Things Fair,Sweden
27098,All Things Fair,Denmark
25087,Bloodsport II,United States of America
5801,Pather Panchali,India
896,The World of Apu,India
3065,Mystery Science Theater 3000: The Movie,United States of America
318177,Tarantella,
2300,Space Jam,United States of America
8069,Barbarella,United States of America
288173,Hostile Intentions,United States of America
187851,They Bite,
27768,Some Folks Call It a Sling Blade,
221917,The Run of the Country,Ireland
221917,The Run of the Country,United States of America
8072,Alphaville,Italy
