id,title,genero,popularity
10047,French Twist, Adventure   Drama   Action   History   War ,2.52
10048,Friday, Action ,14.57
10049,From Dusk Till Dawn, Action   Thriller ,15.34
100490,Fair Game, Drama   Romance ,5.91
100493,Kicking and Screaming, Horror ,3.37
10050,Les Miserables, Comedy   Romance ,1.48
10051,Bed of Roses, Comedy   Drama   Romance ,10.41
10052,Big Bully, Drama ,2.94
100526,Screamers, Drama   Fantasy   War ,12.76
100528,Screamers, Drama ,12.76
100529,Screamers, Comedy ,12.76
10053,Nico Icon, Horror   Thriller ,0.13
100532,Nico Icon, Documentary   Romance ,0.13
10054,The Crossing Guard, Action   Comedy   Family   Adventure ,5.76
100540,The Juror, Action ,6.01
100544,The White Balloon, Crime   Drama ,1.2
10055,Things to Do in Denver When You're Dead, Horror   Thriller ,4.49
10056,Antonia's Line, Crime   Drama   Thriller ,2.03
100568,Antonia's Line, Drama ,2.03
10057,Antonia's Line, Action   Adventure   Comedy ,2.03
100592,Once Upon a Time... When We Were Colored, Animation   Drama ,0.25
100594,Last Summer in the Hamptons, Action   Horror   Science Fiction ,0.53
10060,Angels and Insects, Drama ,2.15
100605,Angels and Insects, History   War   Action ,2.15
10061,White Squall, Action   Adventure   Science Fiction   Thriller ,9.57
10063,Dunston Checks In, Thriller   Horror   Comedy ,4.81
100632,Black Sheep, Drama   Comedy ,8.96
100634,Nick of Time, Romance ,6.85
10064,The Journey of August King, Thriller ,0.41
10065,Mary Reilly, Horror   Thriller   Drama ,12.87
100656,Vampire in Brooklyn, Fantasy   Science Fiction   Romance ,9.07
10066,Beautiful Girls, Horror ,4.67
100661,Broken Arrow, Horror ,14.96
100669,A Midwinter's Tale, Drama   Horror   Thriller   Action ,0.51
10067,La Haine, Comedy   Family ,12.11
100671,Shopping, Horror   Mystery ,2.66
10068,Heidi Fleiss: Hollywood Madam, Drama   Romance ,0.64
100681,Heidi Fleiss: Hollywood Madam, Drama   Thriller ,0.64
100683,Heidi Fleiss: Hollywood Madam, Drama   Action   Thriller   Crime ,0.64
10069,Heidi Fleiss: Hollywood Madam, Horror   Thriller ,0.64
10070,City Hall, Action   Comedy   Horror ,4.81
10071,Bottle Rocket, Comedy ,6.9
10072,Mr. Wrong, Horror   Thriller ,3.33
10073,Unforgettable, Comedy ,2.46
10074,Happy Gilmore, Action   Comedy ,9.59
100747,The Bridges of Madison County, Drama   War ,5.95
10075,Nobody Loves Me, Drama   Fantasy   Horror   Romance ,1.02
10077,Muppet Treasure Island, Thriller   Science Fiction   Adventure   Action ,6.9
100770,Catwalk, Horror ,0.98
100776,Headless Body in Topless Bar, Documentary   Music ,0.0
10078,Braveheart, Comedy ,20.76
100783,Taxi Driver, Comedy   Drama   Family ,14.09
100784,Rumble in the Bronx,  ,12.31
100791,Before and After, Comedy   Fantasy   Family ,2.94
100794,Margaret's Museum, Drama   Foreign ,0.37
10081,Margaret's Museum, Action   Adventure   Crime   Drama ,0.37
100812,Happiness Is in the Field, Romance   Drama   Thriller ,1.25
100813,Anne Frank Remembered, Documentary ,0.24
100814,Anne Frank Remembered, Action   Adventure   War ,0.24
100825,Anne Frank Remembered, Documentary   Music ,0.24
100829,The Young Poisoner's Handbook, Documentary ,6.18
10083,The Young Poisoner's Handbook, Action   Drama   Thriller ,6.18
100830,The Young Poisoner's Handbook, Comedy ,6.18
10085,If Lucy Fell, Horror ,2.89
10086,Steal Big Steal Little, Comedy   Crime   Drama   Horror ,1.52
10087,Race the Sun, Drama ,1.32
100888,The Boys of St. Vincent,  ,0.87
10089,Boomerang, Comedy   Horror ,6.51
100894,Chungking Express, Crime   Drama ,6.78
100898,The Star Maker, Drama   Romance ,1.7
10090,Flirting with Disaster, Action   Adventure   Comedy   Crime ,5.58
100910,The Neverending Story III: Escape from Fantasia, Drama   Romance ,6.25
100914,The Neverending Story III: Escape from Fantasia,  ,6.25
10092,The Silences of the Palace, Horror   Thriller ,0.41
100923,The Silences of the Palace, Drama ,0.41
10093,Jupiter's Wife, Drama   Horror   Thriller ,0.0
10094,Pie in the Sky, Crime   Drama   Horror   Mystery   Thriller ,0.7
10096,Angela, Comedy   Fantasy   Romance ,2.2
10097,Frankie Starlight, Drama   Comedy   Crime ,0.64
100973,Frankie Starlight, Drama   Thriller ,0.64
100975,Frankie Starlight, Drama   Comedy ,0.64
10098,Frankie Starlight, Comedy   Drama ,0.64
101,Jade, Thriller   Crime   Drama ,11.42
101006,Nueba Yol, Drama ,0.29
10102,Sonic Outlaws, Drama   Comedy ,0.0
101024,Down Periscope, Comedy ,5.18
101029,From the Journals of Jean Seberg, Drama ,0.28
10103,Man of the Year, Comedy   Drama ,0.54
101030,The Neon Bible, Adventure ,0.37
10105,Target, Action   Adventure   Drama   History   War ,0.0
101056,Up Close & Personal, Drama   Romance   Foreign ,3.4
10107,The Birdcage, Adventure   Comedy   Family ,6.5
10109,Virgin Mary, Action   Adventure   Comedy   Drama   Fantasy   Romance ,0.92
10110,Virgin Mary, Drama   History   War ,0.92
10111,Virgin Mary, Comedy   Romance ,0.92
10112,The Brothers McMullen, Animation   Comedy   Family   Adventure ,2.04
101124,Bad Boys, Documentary   Foreign ,9.26
101125,The Amazing Panda Adventure, Adventure   Action   Drama ,2.38
101135,The Basketball Diaries, Adventure   Comedy   Family ,7.42
10115,An Awfully Big Adventure, Comedy   Drama ,0.92
10116,Amateur, Action ,1.76
10117,Amateur, Action   Adventure   Comedy   Crime   Drama ,1.76
101173,Amateur, Drama   Thriller ,1.76
101176,Apollo 13, Horror   Thriller ,18.76
101179,Rob Roy, Horror   Thriller   Mystery ,10.19
10118,Rob Roy, Comedy ,10.19
101183,The Addiction, Drama ,3.14
101185,Batman Forever, Drama   History   Romance ,13.32
10119,Batman Forever, Comedy   Drama ,13.32
101190,Belle de Jour, Action   Comedy   Crime ,10.14
10120,Belle de Jour, Action   Comedy ,10.14
101206,Beyond Rangoon, Drama   Romance   Thriller ,2.04
101217,Blue in the Face, Comedy ,11.53
10122,Canadian Bacon, Family   Science Fiction   Adventure ,5.39
101226,Canadian Bacon, Comedy   Family ,5.39
101230,Casper,  ,12.81
101231,Clockers, Drama   Mystery ,4.56
10124,Congo, Horror ,7.26
101242,Crimson Tide, Comedy   Romance ,8.66
10125,Crumb, Thriller   Drama ,3.62
10126,Desperado, Action   Crime   Drama ,6.95
101267,Devil in a Blue Dress, Documentary   Music ,4.65
10127,Die Hard: With a Vengeance, Comedy   Horror   Science Fiction   Thriller ,15.14
10128,The Doom Generation, Crime   Science Fiction   Thriller ,7.12
101281,The Doom Generation, Comedy ,7.12
101288,Feast of July, Romance   Drama ,0.52
101289,First Knight, Comedy   Romance   War ,15.18
10129,Free Willy 2 - The Adventure Home, Drama ,7.58
101293,Free Willy 2 - The Adventure Home, Drama   Thriller   Action   Crime ,7.58
101297,Hackers, Drama ,14.81
101299,Jeffrey, Adventure   Action   Science Fiction ,3.2
10130,Johnny Mnemonic, Drama ,11.72
101307,Johnny Mnemonic, Drama ,11.72
101308,Judge Dredd, Western   Action ,8.18
10131,Jury Duty, Horror   Thriller ,3.68
10132,Kids, Drama ,4.88
101320,Living in Oblivion,  ,10.06
101325,Lord of Illusions, Drama ,4.1
10133,Love & Human Remains, Thriller   Science Fiction   Mystery ,0.35
101330,Mad Love, Drama ,2.62
101338,Mallrats, Drama   Foreign ,8.26
10134,Mighty Morphin Power Rangers: The Movie, Action   Science Fiction ,7.02
101342,Mighty Morphin Power Rangers: The Movie, Comedy ,7.02
10135,Moonlight and Valentino, Action   Thriller ,1.01
101352,Moonlight and Valentino, Comedy ,1.01
10136,Mute Witness, Action   Adventure   Comedy ,2.47
101362,Mute Witness, Comedy   Adventure   Crime ,2.47
101363,Mute Witness, Comedy   Fantasy   Family ,2.47
10137,Mute Witness, Animation   Fantasy   Family   Comedy ,2.47
101376,Nadja, Documentary   Foreign ,7.72
10138,The Net, Adventure   Action   Science Fiction ,13.3
101382,Nine Months, Drama ,8.48
101383,Party Girl, Documentary ,1.17
10139,The Prophecy, History   Drama ,10.19
10140,Reckless, Adventure   Family   Fantasy ,0.12
10141,Safe, Crime   Comedy ,8.18
10142,Safe, Drama   History   War ,8.18
101420,The Scarlet Letter, Thriller ,6.75
101422,The Show, Horror   Mystery ,0.16
10144,Showgirls, Animation   Family ,17.5
101444,Showgirls, Crime   Adventure   Action   War ,17.5
101449,Smoke, Comedy   TV Movie ,5.55
10145,Smoke, Crime   Drama   Horror   Mystery   Science Fiction   Thriller ,5.55
10146,Smoke, Comedy ,5.55
10147,Something to Talk About, Drama   Comedy   Crime ,3.74
101482,Species, Comedy   Drama   Romance ,13.49
10149,The Stars Fell on Henrietta, Comedy   Drama ,0.91
10150,Strange Days, Fantasy   Animation   Family ,11.22
101501,The Umbrellas of Cherbourg, Horror   Thriller ,8.13
101503,The Umbrellas of Cherbourg, Animation   Family   Comedy ,8.13
10151,The Tie That Binds, Drama ,1.82
101514,Three Wishes, Drama   Family   Comedy   TV Movie ,11.0
101519,Total Eclipse, Comedy   Thriller ,4.55
10152,Total Eclipse, Comedy ,4.55
101520,Total Eclipse, Documentary ,4.55
10153,"To Wong Foo, Thanks for Everything! Julie Newmar", Science Fiction ,7.65
101538,Under Siege 2: Dark Territory, Animation   Family ,7.49
10154,Unstrung Heroes, Comedy   Crime   Romance ,2.88
10155,Unzipped, Thriller ,0.79
101553,A Walk in the Clouds, Western ,9.72
101557,Waterworld, Drama   Western ,16.89
10156,White Man's Burden, Comedy ,1.83
101566,White Man's Burden, Drama ,1.83
10157,Wild Bill, Comedy   Crime ,8.92
10158,The Browning Version, Comedy   Drama ,3.73
10159,Bushwhacked, Adventure   Action   Comedy   Thriller ,3.29
101598,Burnt by the Sun, Action   Adventure   War ,2.49
10160,Burnt by the Sun, Horror   Thriller ,2.49
101609,Before the Rain, Documentary ,3.53
10161,Before the Rain, Drama ,3.53
10162,Before the Rain, Comedy   Romance ,3.53
10163,Before Sunrise, Horror   Thriller   Science Fiction ,11.3
10164,Before Sunrise, Comedy   Drama ,11.3
10165,Before Sunrise, Drama   History ,11.3
101652,Billy Madison, Science Fiction ,6.64
101653,The Babysitter, Drama ,2.76
10166,Boys on the Side, Adventure   Fantasy   Horror ,3.03
101660,Boys on the Side, Drama   Science Fiction   Action   Adventure ,3.03
101665,The Cure, Adventure ,2.69
101669,Castle Freak, Crime   Drama   Horror   Thriller ,2.27
10167,Circle of Friends, Crime   Action   Thriller ,2.61
10168,Circle of Friends, Comedy   Crime ,2.61
10169,Clerks, Comedy   Crime ,10.51
10170,Don Juan DeMarco, Drama   Action   Thriller   Romance ,7.44
10171,Disclosure, Romance   Drama ,11.81
101715,Dream Man,  ,0.16
10172,Dream Man, Comedy   Family   Drama ,0.16
101724,Drop Zone, Horror ,9.58
10173,Destiny Turns on the Radio, Action   Thriller ,0.71
101731,Death and the Maiden, Comedy   Drama ,5.48
101733,Death and the Maiden, Comedy   Horror ,5.48
10174,Death and the Maiden, Documentary   Music ,5.48
101740,Dolores Claiborne, Crime   Drama ,5.8
101752,Dumb and Dumber, Drama   Romance ,9.84
10176,Eat Drink Man Woman, Drama   Science Fiction   Thriller ,4.86
101766,Eat Drink Man Woman, Drama   Foreign ,4.86
10177,Exotica, Comedy   Horror   Science Fiction ,5.38
101772,Exit to Eden, Drama   War ,4.32
10178,Ed Wood, Drama   War ,11.72
101783,French Kiss, Action   Thriller   Foreign ,9.15
10179,French Kiss, Action   Science Fiction   Comedy ,9.15
101791,Forget Paris, Horror   Thriller ,16.24
1018,Far from Home: The Adventures of Yellow Dog, Thriller   Drama   Mystery ,2.66
10180,A Goofy Movie, Action   Comedy   Crime ,10.18
101801,Hideaway, Music   Comedy   Documentary ,8.18
101803,Fluke, Documentary ,4.95
101806,Farinelli, Animation   Comedy   Family   Horror   Thriller ,8.94
101818,Farinelli, Drama ,8.94
10183,Farinelli, Drama ,8.94
101838,Gordy, Crime   Drama   Thriller ,0.4
10184,Gumby: The Movie, Comedy   Romance   Drama ,0.09
10185,The Glass Shield, Mystery   Drama   Crime   Thriller   Horror ,1.01
101852,The Glass Shield, Thriller   Mystery   Romance ,1.01
101858,Hoop Dreams, Comedy ,9.48
10186,Heavenly Creatures, Comedy   Music ,9.44
101860,Houseguest, Documentary ,2.69
10187,Immortal Beloved, Drama   Comedy ,7.98
10188,Heavyweights, Adventure   Comedy   Drama   Family ,9.55
101887,The Hunted, Comedy   Drama ,2.76
10189,I.Q., Action   Comedy ,5.15
101897,Interview with the Vampire, Adventure   Comedy ,11.97
10190,Jefferson in Paris, Drama ,1.6
101904,The Jerky Boys, Fantasy   Drama ,0.75
101908,Junior, Drama ,6.71
10191,Just Cause, Fantasy   Adventure   Animation   Family ,9.2
101915,A Kid in King Arthur's Court, Drama ,5.87
101916,Kiss of Death, Thriller   Drama ,7.8
101917,Star Wars, Drama ,42.15
10192,Little Women, Comedy   Adventure   Fantasy   Animation   Family ,9.77
101929,A Little Princess, Crime   Drama ,7.73
10193,Ladybird Ladybird, Animation   Family   Comedy ,0.85
10195,L'Enfer, Adventure   Fantasy   Action ,1.95
101956,Like Water for Chocolate, Drama ,4.13
10196,Legends of the Fall, Action   Adventure   Family   Fantasy ,12.2
101965,Major Payne, Foreign   Drama ,9.25
101968,Little Odessa, Drama ,1.86
10197,Mi Vida Loca, Drama   Music   Romance ,1.79
10198,Love Affair, Romance   Family   Animation   Music ,3.29
10199,Losing Isaiah, Adventure   Animation   Family ,7.7
101995,The Madness of King George,  ,4.81
101998,Mary Shelley's Frankenstein, Drama ,14.29
102,Mary Shelley's Frankenstein, Drama   Romance ,14.29
10200,Mary Shelley's Frankenstein, Drama   Science Fiction   Thriller ,14.29
102000,Man of the House, Drama ,2.56
102001,Mixed Nuts, Drama ,2.9
10201,Milk Money, Comedy ,3.77
102016,Miracle on 34th Street, Drama   Foreign ,5.83
10202,Miami Rhapsody, Fantasy   Comedy   Family   Romance ,1.14
102024,My Family, Drama   Romance ,3.12
102032,Murder in the First, Drama   Documentary ,9.52
102038,Murder in the First, Drama   Romance ,9.52
102039,Nobody's Fool, Comedy   Science Fiction ,2.89
10204,Nell, Action   Adventure   Comedy ,5.93
102041,New Jersey Drive, Documentary   History ,0.63
10205,New York Cop, Comedy   Foreign   Horror   Thriller ,0.0
102051,New York Cop, Comedy   Romance ,0.0
102053,Beyond Bedlam, Comedy ,0.43
102057,Nemesis 2 - Nebula, Comedy ,1.47
102059,Nina Takes a Lover, Action   Comedy ,0.77
10206,Natural Born Killers, Action   Comedy   Horror ,11.23
10207,Only You, Romance   Drama ,4.94
102078,Once Were Warriors, War   Drama ,4.03
10208,Poison Ivy II: Lily, Fantasy   Comedy   Science Fiction   Family ,6.45
102081,Outbreak, Drama   Romance   War ,13.68
10209,Leon: The Professional, Romance   Drama ,20.48
102091,Leon: The Professional, Comedy   Drama   War ,20.48
10210,The Perez Family, Fantasy   Drama   Comedy   Romance ,1.43
10212,A Pyromaniac's Love Story, Comedy   Horror   Thriller   Western ,0.46
10213,Pulp Fiction, Western   Horror   Thriller ,140.95
10214,Panther, Fantasy   Comedy   Family   Adventure ,7.16
102144,Panther, Comedy ,7.16
10215,Pushing Hands, Comedy   Drama   Fantasy   Romance ,1.64
102155,Priest, History   War ,1.88
10216,Quiz Show, Science Fiction   Action   Horror ,7.77
102161,Picture Bride, Animation ,1.3
102165,Picture Bride, Drama   War ,1.3
10217,Queen Margot, Drama ,4.41
10218,Queen Margot, Comedy   Romance ,4.41
10219,Queen Margot, Drama   Romance ,4.41
102195,The Quick and the Dead, Comedy   Science Fiction ,7.55
102197,The Quick and the Dead, Action   Thriller ,7.55
102198,Roommates, Drama   Romance ,3.4
10220,Prêt-à-Porter, Drama   Crime ,6.26
102207,Three Colors: Red, Adventure   Comedy ,7.83
10222,Three Colors: Red, Action   Thriller ,7.83
102222,Three Colors: Red, Drama   Action ,7.83
102227,Three Colors: Blue, Comedy   Foreign ,8.84
10223,Three Colors: Blue, Drama   Crime   Thriller ,8.84
102234,Three Colors: White, Action   Crime ,6.59
102242,Three Colors: White, Music   Drama ,6.59
10225,"Red Firecracker, Green Firecracker", Horror   Mystery   Thriller ,0.08
102256,"Red Firecracker, Green Firecracker", Mystery   Drama   Fantasy   Horror   Thriller ,0.08
10226,Rent-a-Kid, Horror   Thriller   Mystery ,1.16
10227,Relative Fear, Comedy ,0.5
102272,Stuart Saves His Family, Drama ,1.39
10228,Stuart Saves His Family, Animation ,1.39
102286,The Swan Princess, Drama ,8.91
102288,The Secret of Roan Inish, Action   Western ,1.75
102289,The Secret of Roan Inish, Western ,1.75
10229,The Specialist, Drama   Romance ,10.39
102292,The Specialist, Drama ,10.39
102295,Stargate, Adventure   Drama ,13.33
1023,Stargate, Drama   Comedy   Crime ,13.33
102304,The Santa Clause, Drama ,9.67
102305,The Shawshank Redemption, Drama ,51.65
10232,Shallow Grave, Drama ,8.22
102331,Suture, Drama ,1.3
102337,Strawberry and Chocolate, Drama ,1.78
10234,Strawberry and Chocolate, Drama   Horror   Thriller ,1.78
10235,Swimming with Sharks, Drama   History   War ,5.87
10236,The Sum of Us, Drama   Romance ,1.41
102362,Senior Trip, Thriller   Action   Crime   Drama ,5.06
102363,Senior Trip, Drama   Action ,5.06
102368,To Live,  ,5.26
10237,To Live, Crime   Drama   Thriller ,5.26
10238,Tank Girl, Drama ,7.6
102382,Tales from the Crypt: Demon Knight, Action   Adventure   Fantasy ,9.46
102384,Star Trek: Generations, Adventure   Comedy   Romance ,8.11
10239,Tales from the Hood, Drama   Romance ,2.86
1024,Tom & Viv, Drama   Fantasy ,0.7
102406,Tom & Viv, Drama ,0.7
10241,Village of the Damned, Comedy   Foreign ,6.53
102410,Tommy Boy, Music ,11.97
102419,Vanya on 42nd Street, Thriller ,7.04
10242,The Underneath, Drama   Horror   Thriller ,2.06
102420,The Walking Dead, Comedy   Horror ,0.62
102428,What's Eating Gilbert Grape, Drama   Music ,10.39
10243,Virtuosity, Adventure   Drama ,5.19
102431,While You Were Sleeping, Drama   Family ,15.78
10244,The War, Drama ,3.91
102444,Double Happiness, Science Fiction   Western ,0.37
10246,Muriel's Wedding, Comedy ,5.25
102461,Muriel's Wedding, Drama ,5.25
10247,The Baby-Sitters Club, Romance   Comedy   Drama ,2.16
10248,Ace Ventura: Pet Detective, Comedy ,11.25
102488,"The Adventures of Priscilla, Queen of the Desert", Western ,8.33
102489,Backbeat, Drama   Romance ,2.49
10249,Backbeat, Action   Adventure   Science Fiction   Family ,2.49
10251,Bitter Moon, Horror   Thriller ,11.3
102517,Bitter Moon, TV Movie   Comedy ,11.3
102524,Bitter Moon, Drama   Comedy ,11.3
102526,Bullets Over Broadway, Adventure   Drama ,5.72
102527,Clear and Present Danger,  ,7.51
10253,The Client, Fantasy   Drama   Horror   Action   Thriller   Science Fiction ,15.26
102533,"Corrina, Corrina",  ,6.92
102534,Crooklyn, Thriller ,2.53
10254,The Crow, Crime   Action   Thriller ,15.8
102541,Cobb, War   Drama   Romance ,2.58
10257,The Flintstones, Adventure   Action   Comedy   Science Fiction ,15.02
10258,Forrest Gump, Animation   Comedy   Family ,48.31
102596,Four Weddings and a Funeral, Documentary   War ,8.99
102597,Higher Learning, Drama   Family ,7.82
10260,I Like It Like That, Comedy ,0.29
10261,I Love Trouble, Fantasy   Comedy ,3.57
102622,It Could Happen to You, Music   Documentary ,11.27
102629,The Jungle Book, Adventure   Drama   Action   Thriller ,10.71
10263,"The Wonderful, Horrible Life of Leni Riefenstahl", Fantasy   Horror   Thriller ,0.57
102630,"The Wonderful, Horrible Life of Leni Riefenstahl", Action   Thriller ,0.57
102632,"The Wonderful, Horrible Life of Leni Riefenstahl", Action ,0.57
102639,"The Wonderful, Horrible Life of Leni Riefenstahl", Drama ,0.57
10264,The Lion King, Drama   History ,21.61
102640,Little Buddha, Drama ,5.68
10265,Little Buddha, Drama   Action   Comedy   Thriller ,5.68
102651,Little Buddha, Fantasy   Adventure   Action   Family   Romance ,5.68
102668,Little Buddha, Comedy ,5.68
10268,New Nightmare, Comedy ,9.86
10269,The Mask, Music   Drama   Romance ,14.13
102691,Maverick, Documentary ,15.05
102699,Mrs. Parker and the Vicious Circle, Drama   Crime   Thriller ,4.74
10270,The Naked Gun 33⅓: The Final Insult, Action   Drama ,10.59
102707,The Paper,  ,4.01
10271,Reality Bites, Comedy   Romance ,6.51
10272,Red Rock West, Horror   Thriller ,5.14
102732,Ri¢hie Ri¢h, Comedy   Romance ,6.6
10274,Safe Passage, Thriller   Crime   Drama ,4.93
102743,The River Wild, Comedy ,10.51
10275,Speed, Action ,10.86
10276,Speechless, Comedy ,2.33
10278,Timecop, Drama   Thriller   Romance ,8.91
102780,Timecop, Drama   Fantasy   Thriller ,8.91
102784,True Lies, Action   Crime   Drama ,11.4
10279,When a Man Loves a Woman, Thriller   Drama   Crime   Romance ,4.32
10280,Wolf, Horror   Thriller ,14.06
102807,Wyatt Earp, Documentary ,9.28
102809,Bad Company, Documentary ,0.91
10281,A Man of No Importance, Horror   Thriller ,0.41
102812,A Man of No Importance, Documentary   Music   Comedy ,0.41
102814,S.F.W., Documentary   Music ,2.5
10283,A Low Down Dirty Shame, Horror   Thriller ,3.02
102831,"Boys Life: Three Stories of Love, Lust, and Liberation", Comedy ,0.05
102841,Colonel Chabert, Comedy ,0.93
10285,"Faster, Pussycat! Kill! Kill!", Fantasy   Horror   Thriller ,4.22
102851,Jason's Lyric,  ,0.91
102855,The Secret Adventures of Tom Thumb, Documentary ,0.38
102858,Street Fighter, Drama ,13.58
102860,Street Fighter, Drama   Foreign ,13.58
102862,Coldblooded, Drama   Comedy   Thriller   Documentary ,2.34
102867,Desert Winds, Romance   Documentary   Comedy ,0.25
102870,Fall Time, Crime   Drama   Comedy ,1.11
102871,The Fear, Drama ,0.27
102873,Frank and Ollie, Documentary ,0.14
102878,Girl in the Cadillac, Drama ,0.41
10288,Homage, Romance   Comedy   Drama   Horror ,0.01
102899,Mirage, Science Fiction   Action   Adventure ,0.3
102901,Open Season,  ,0.01
102909,Dos Crímenes, Family   Foreign ,0.23
102913,Brother Minister: The Assassination of Malcolm X, Drama ,0.04
10292,Highlander: The Final Dimension, Horror   Thriller ,6.87
10293,Highlander: The Final Dimension, Romance   Comedy   Drama ,6.87
102931,Highlander: The Final Dimension, TV Movie   Drama   Crime ,6.87
102933,Federal Hill, Drama ,0.1
102935,In the Mouth of Madness, Crime   Documentary ,8.5
102938,8 Seconds, Action   Drama ,1.89
10294,Above the Rim, Horror   Thriller ,4.38
102947,Addams Family Values,  ,17.56
102949,Martin Lawrence: You So Crazy, Action   Comedy   Western ,0.39
102959,The Age of Innocence, Western   Comedy ,8.01
10296,Airheads, Drama ,7.09
102961,The Air Up There, Action   Drama ,1.9
10297,Another Stakeout, Comedy   Romance ,12.97
10299,Bad Girls, Crime   Drama   Horror   Mystery   Thriller ,14.64
103,Barcelona, Crime   Drama ,1.63
103012,Being Human, Drama ,2.78
103014,Being Human, Family ,2.78
10303,The Beverly Hillbillies, Action   Adventure   Comedy   Romance ,5.67
10304,Beverly Hills Cop III, Adventure   Horror   Action   Science Fiction ,11.79
