id,title,name_companies,revenue
18183,Like Water for Chocolate,Robert Simonds Productions,21665468
11008,Major Payne,Malpaso Productions,0
28313,Losing Isaiah,Jim Henson Productions,7603766
11318,The Madness of King George,"Jim Henson Company, The",0
24070,Mixed Nuts,Icon Entertainment International,0
8986,Milk Money,The Ladd Company,18137661
10510,Miracle on 34th Street,B.H. Finance C.V.,46264384
38722,My Family,Italo/Judeo Productions,0
8438,Murder in the First,Bill/Phillips,17381942
1945,Nell,Golden Harvest Company,106683817
56428,Beyond Bedlam,Téléfilm Canada,0
63105,Nemesis 2 - Nebula,Skyline Films,0
131957,Nina Takes a Lover,Malofilm,0
241,Natural Born Killers,Société de Développement des Entreprises Culturelles (SODEC),50282766
9058,Only You,British Screen Productions,0
527,Once Were Warriors,National Film Board of Canada (NFB),2201126
18220,Poison Ivy II: Lily,imX Communications,0
6950,Outbreak,Glace Bay Pictures,189859560
101,Leon: The Professional,Ciné Télé Action,45284974
63020,The Perez Family,Nova Scotia Film Development Corporation,2832826
2307,A Pyromaniac's Love Story,Ranfilm,0
680,Pulp Fiction,France 2 Cinéma,213928762
40156,Priest,Les Productions du Champ Poirier,4176932
11450,Quiz Show,Téléma Productions,0
10452,Queen Margot,Bavaria Film and Television Fund,0
3586,Prêt-à-Porter,Savoy Pictures,11300653
159185,"Red Firecracker, Green Firecracker",Jet Tone Production,0
36357,Rent-a-Kid,The Criterion Collection,0
92769,Relative Fear,Cecchi Gori Group Tiger Cinematografica,0
22586,The Swan Princess,Studio Babelsberg,9771658
14334,The Secret of Roan Inish,Dieter Geissler Filmproduktion,0
2636,The Specialist,Cinevox Filmproduktion GmbH,170362582
278,The Shawshank Redemption,Canal Horizons,28341469
9905,Shallow Grave,Mat Films,0
87078,Suture,Cinétéléfilms,102780
27993,Senior Trip,Fine Line Features,0
9067,Tank Girl,Bórd Scannán na hÉireann,4064495
25066,Tales from the Hood,Cigua Films,12000000
46797,Tom & Viv,D'Pelicula,0
32636,Vanya on 42nd Street,Couch Potatoe Productions,0
1587,What's Eating Gilbert Grape,Academy,10032765
9271,Virtuosity,Mayfair Films,24048000
2064,While You Were Sleeping,Iberoamerica Films,182057016
2759,"The Adventures of Priscilla, Queen of the Desert",Fox Searchlight Pictures,11220670
34152,Crooklyn,BBC,0
29973,Cobb,Portman Productions,1007583
13,Forrest Gump,Zenith Entertainment,677945399
712,Four Weddings and a Funeral,American Playhouse,254700832
16295,Higher Learning,Union Générale Cinématographique (UGC),38290723
10879,I Love Trouble,True Fiction Pictures,61947267
10660,It Could Happen to You,Imagine Entertainment,0
8587,The Lion King,Talisman Productions,788241776
1689,Little Buddha,October Films,4858139
11596,New Nightmare,Guild,18090181
854,The Mask,Fastnet Films,351583407
36593,The Naked Gun 33⅓: The Final Insult,Paris Films Productions,51132598
12280,The Paper,Five Films,0
2788,Reality Bites,Robert et Raymond Hakim,20079850
8987,The River Wild,InterAL,0
36955,True Lies,The Harvey Entertainment Company,378882411
10395,Wolf,40 Acres & A Mule Filmworks,0
40480,Bad Company,"Kennedy/Marshall Company, The",0
26352,A Low Down Dirty Shame,Superior Pictures,29392418
22067,Jason's Lyric,Mundy Lane Entertainment,20851521
32502,Coldblooded,Why Not Productions,0
267188,Desert Winds,Desperate Pictures,0
28732,Fall Time,Blurco,0
75555,The Fear,The Teen Angst Movie Company,0
278939,Girl in the Cadillac,Merchant Ivory Productions,0
226229,Mirage,First Knight Productions,0
172923,Dos Crímenes,Alcor Films,0
18069,8 Seconds,Suftley,0
19092,Above the Rim,The Booking Office,0
2758,Addams Family Values,Workin' Man Films,48919043
16771,Barcelona,JDI productions,0
46924,Being Human,Lemon Sky Productions,0
306,Beverly Hills Cop III,Seraphim Films,119208989
14522,Black Beauty,The Ontario Film Development Corporation,0
26203,Blink,First Choice Films,16668552
178,Blown Away,Atlantis Films,30156002
57834,Blue Sky,Max Films Productions,0
4722,Body Snatchers,Super Écran,428868
18215,Boxing Helena,Société Générale des Industries Culturelles du Québec (SOGIC),1796389
117553,Calendar Girl,Gramercy Pictures,2570145
6075,Carlito's Way,Alphaville Films,36516012
11310,City Slickers II: The Legend of Curly's Gold,View Askew Productions,0
9350,Cliffhanger,Saban Entertainment,255000211
9612,Coneheads,Toei Company,0
19176,The Cowboy Way,Comet Film Produktion GmbH,0
49299,Dangerous Game,Avrora Media,0
11566,Dave,Cobblestone Pictures,63000000
9571,Dazed and Confused,Kino Link Company,7993039
34444,Even Cowgirls Get the Blues,1492 Pictures,0
26141,Fatal Instinct,Party Productions,0
20239,Fear of a Black Hat,"Samuel Goldwyn Company, The",0
16297,With Honors,Killer Films,0
25440,Widows' Peak,Kardana Films,0
9024,For Love or Money,Chemical Films,11146270
18620,Go Fish,Spring Creek Productions,0
4916,Guilty as Sin,Hawn / Sylbert Movie Company,22886222
9255,Hot Shots! Part Deux,Butcher's Run Films,133752825
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,Lightstorm Entertainment,0
2259,The House of the Spirits,Beta Film,0
16097,House Party 3,Madeleine Films,0
11934,The Hudsucker Proxy,Parc Film,0
59930,The Inkwell,Société Française de Production (SFP),8880705
15765,What's Love Got to Do with It,FIT Productions,0
34024,King of the Hill,Seagal/Nasso Productions,0
29918,Lassie,Victor Company of Japan (JVC),0
9593,Last Action Hero,Cutting Edge Films,137298489
12121,Made in America,Zucker Brothers Productions,0
10502,The Man without a Face,Gordon Company,24760338
10440,Manhattan Murder Mystery,Davis Entertainment,11285588
9516,Menace II Society,Licht/Mueller Film Corporation,27900000
2320,Executive Decision,HBO,121969216
5879,In the Realm of the Senses,A BandApart,0
21450,Naked,Studio Trite,0
11231,The Next Karate Kid,Caméra One,15826984
41588,The New Age,PolyGram Audiovisuel,0
31586,North,Detour Film Production,0
9559,A Perfect World,Jack Giarraputo Productions,135130999
9800,Philadelphia,Spelling Films International,206678440
22588,Radioland Murders,Hera Productions,0
1245,The Remains of the Day,Island World,23237911
11858,Renaissance Man,Full Moon Entertainment,24332324
5550,RoboCop 3,Lantana,10696210
8005,Robin Hood: Men in Tights,Price Entertainment,35739755
14534,Rudy,American Zoetrope,22750363
41878,Savage Nights,Baltimore Pictures,0
424,Schindler's List,Keystone Pictures,321365567
35233,The Scout,Dream Man Productions Inc,0
10445,Shadowlands,Capitol Films,0
12519,Sirens,Flach Film,7770731
23210,Six Degrees of Separation,Les Films de l'Astre,0
10442,So I Married an Axe Murderer,Ang Lee Productions,11585483
11074,Striking Distance,Good Machine,0
33367,Harem,Central Motion Pictures,0
17585,Surviving the Game,Alliance Entertainment,7690013
9057,Terminal Velocity,Ego Film Arts,16478900
41590,Trial by Jury,Prufrock Pictures,0
85247,Killer,Metro-Goldwyn-Mayer,0
11446,Welcome to the Dollhouse,Italian International Film,0
51980,Germinal,Stéphan Films,0
24405,Chasers,MG,1596687
31504,Little Big League,Kartemquin Films,0
41653,The Slingshot,WingNut Films,0
95743,Foreign Student,New Zealand Film Commission,0
23637,"Ciao, Professore!",Fontana Productions,0
21352,Andre,Majestic Films International,0
25403,Dear Diary,Bregman/Baer Productions,0
9066,The Brady Bunch Movie,Geffen Pictures,0
80350,Tough and Deadly,Northern Lights Entertainment,0
268,Batman,Fountainbridge Films,411348924
408,Snow White and the Seven Dwarfs,Lee Rich Productions,184925486
10895,Pinocchio,Trimark Pictures,84300000
41043,Window to Paris,Lucasfilm,0
30528,Bye Bye Love,Parallax Pictures,0
7300,One Fine Day,MK2 Productions,97529550
10824,Candyman: Farewell to the Flesh,Aviacsa,13940383
261246,Century,Cinevista,0
275,Fargo,Bedford Falls Productions,60611975
11827,Heavy Metal,Pangaea,0
54850,Loaded,Live Entertainment,0
10112,The Aristocats,Cineville,55675257
4307,The Flower of My Secret,Home Box Office (HBO),0
46029,Two Much,Showcase Entertaiment Inc.,0
123505,A Modern Affair,Samuel Goldwyn Company,0
340210,Condition Red,Close Call Films,0
40926,Frisk,Newcomb Productions,0
9099,Sgt. Bilko,Wolper Organization,0
10988,Diabolique,Capella International,0
11479,"Little Indian, Big City",Cinehaus,0
10684,Courage Under Fire,TOEI,100860818
954,Mission: Impossible,Distant Justice Joint Venture,457696359
68445,Cold Fever,Metrodome Films,0
18989,Moll Flanders,Filmwerks,0
124625,My Mother's Courage,Ixtlan,0
70934,Billy's Holiday,J D Productions,0
161070,August,Avalon Studios,0
10543,Fear,New Zealand On Air,0
47502,Faithful,CineTel Pictures,9789900
11902,Underground,MG Entertainment,0
27098,All Things Fair,Kopelson Entertainment,0
25087,Bloodsport II,Punch Productions,684351
896,The World of Apu,Arnold Kopelson Productions,16000
318177,Tarantella,Gaumont,0
8072,Alphaville,Gramercy Pictures (I),0
35797,Coup de Torchon,MVP Films,0
124460,Country Life,Wildwood Enterprises,0
40001,Mrs. Winterbourne,Cecile Company,10070000
29621,Solo,Thousand Cranes Filmworks,0
48260,Butterfly Kiss,ARD/Degeto Film GmbH,0
12656,Feeling Minnesota,D.A. Films,0
38867,Delta of Venus,France2 Cinéma,62949
277270,To Cross the Rubicon,WMG Film,0
44103,Priest Daens,N.E.F. Filmproduktion und Vertriebs GmbH,0
43634,Boys,RCS Films & TV,0
10990,Mulholland Falls,Nomura Babcock & Brown,0
12233,Oliver & Company,Zespół Filmowy TOR,74151346
37667,Captives,Télévision Suisse-Romande,0
922,Dead Man,CED Productions,0
131232,Two Friends,Norstar Entertainment,0
9100,The Craft,west wind entertainment,24769466
46063,Last Dance,Rich Animation Studios,5
32513,Cold Comfort Farm,Skerry Productions,0
40651,"Institute Benjamenta, or This Dream People Call Human Life",Jerry Weintraub Productions,0
40507,Original Gangstas,Iguana Producciones,3014000
9802,The Rock,Centropolis Entertainment,335062621
21588,Cemetery Man,Carolco Entertainment,0
10280,Thinner,Figment Films,0
10535,Spy Hard,The Glasgow Film Fund,0
532,A Close Shave,Kino Korsakoff,0
16299,The Stupids,Tabasco films,0
10547,The Arrival,Instituto Mexicano de Cinematografía (IMCINE),14048372
245268,The Man from Down Under,TeleMadrid,0
35645,Gold Diggers: The Secret of Bear Mountain,1992 Number Four Limited Partnership,0
110465,Kim,MHA,0
255546,Carmen Miranda: Bananas Is My Business,Shanghai Film Studios,0
40751,Ashes of Time,Era International Ltd,0
275096,The Jar,Trilogy Entertainment Group,0
11101,Stalingrad,Tales From The Crypt Holdings,0
46732,The Grass Harp,Sony Pictures Classics,0
124633,Someone Else's America,Populist Pictures,0
77771,Touki Bouki,"Jackson/McHenry Company,The",0
14553,Stealing Beauty,First Generation Films,0
10545,The Hunchback of Notre Dame,British Columbia Film Commission,100138851
9894,The Cable Guy,Ciby 2000,102825796
11543,Kingpin,Film Victoria,25023434
9268,Eraser,House & Moorhouse Films,242295562
9327,The Nutty Professor,Beacon Pictures,128769345
44535,Somebody to Love,R.P. Productions,0
78285,The Old Lady Who Walked in the Sea,Les Films Alain Sarde,0
10779,The Frighteners,Timothy Burrill Productions,29359216
9294,Phenomenon,Mace Neufeld Productions,152036382
11511,Kazaam,Crowvision Inc.,0
172198,Magic Hunter,Entertainment Media Investment Corporation,0
34170,Larger Than Life,Jeff Most Productions,0
281085,A Boy Called Hate,Edward R. Pressman Film,0
69895,Stefano Quantestorie,Aleor Films,0
4837,La Collectionneuse,Hanna-Barbera Productions,0
11962,Joe's Apartment,New Deal Productions,4619014
28628,Stonewall,Think Again Productions,0
3595,Ransom,Riot of Color,309492681
3573,Emma,Arte,22231658
18862,House Arrest,Nomad Films,0
31417,Eyes Without a Face,Omega Film GmbH,0
9431,Bordello of Blood,Without Walls,5600000
47907,The Spitfire Grill,Dark Horse Entertainment,12643776
238,The Godfather,Propaganda Films,245066411
23945,Carpool,David Foster Productions,0
37820,Death in Brunswick,Turman-Foster Company,0
11985,Vive L'Amour,Renaissance Pictures,0
410921,Nothing to Lose,Signature Pictures,0
38955,Project S,JVC Entertainment Networks,0
12559,First Kid,Tig Productions,0
124851,Sweet Nothing,Kasdan Pictures,0
3587,Bogus,Paragon Entertainment Corp.,0
56077,Talk of Angels,Tool Shed Productions,0
253632,Baton Rouge,Little Bird,0
79782,Venice,Strand Releasing,0
26933,Wild Reeds,Strand Home Video,0
981,The Philadelphia Story,Eve Productions Inc.,0
2769,An American in Paris,Bolex Brothers,4500000
13320,Funny Face,Lumen Films,0
164,Breakfast at Tiffany's,Tara,9500000
567,Rear Window,Capcom,36764313
213,North by Northwest,Snowback Productions,13275000
289,Casablanca,Bates Entertainmant,10462500
963,The Maltese Falcon,A-Pix Entertainment,1000000
11113,My Fair Lady,Devin Entertainment,72070731
804,Roman Holiday,Theodore Thomas Productions,12000000
26531,The Little Princess,Overseas FilmGroup,0
909,Meet Me in St. Louis,Skyline Entertainment Partners,0
630,The Wizard of Oz,Arrow,33754967
599,Sunset Boulevard,Frozen Rope Productions Inc.,5000000
121357,Golden Earrings,Trans-Film,0
705,All About Eve,Initial Groupe,63463
223,Rebecca,Fallingcloud,6000000
20758,Father of the Bride,Orion Pictures,0
1859,Ninotchka,HBO Independent Productions,2279000
3080,Top Hat,NBB Unit One Film Partners,3202000
198,To Be or Not to Be,Longview Entertainment,0
220,East of Eden,"Ruddy Morgan Organization, The",5
2897,Around the World in Eighty Days,Barcelona Films,42000000
3083,Mr. Smith Goes to Washington,Enigma Productions,9600000
900,Bringing Up Baby,BSB,0
43795,Penny Serenade,NatWest Ventures,0
85638,The Scarlet Letter,Fujisankei,0
22688,Angel on My Shoulder,Eddie Murphy Productions,0
43488,A Walk in the Sun,Orion Pictures Corporation,0
22613,The Outlaw,Heathrow Productions,0
488,The African Queen,Dorset Productions,10750000
22733,Beat the Devil,Robert H. Solo Productions,0
261,Cat on a Hot Tin Roof,Mainline Pictures,17570324
57575,The Last Time I Saw Paris,HBO Films,105
22649,A Farewell to Arms,Parkway Productions,25
125587,Nothing Personal,Epic Productions,0
63945,Bliss,RCS Video,294064
58985,Grace of My Heart,Cliffhanger Productions,0
890,Brother of Sleep,Pioneer,0
9400,Set It Off,Maverick Picture Company,41590886
9401,2 Days in the Valley,Cecchi Gori Europa N.V.,0
12241,Curdled,Eye Productions,49620
25739,L'associé,Pentamerica,0
6346,The Chamber,Alphaville Productions,22540359
19186,The Parent Trap,Beijing Film Studio,0
31102,Pollyanna,China Film Co-Production Corporation,0
18444,Swiss Family Robinson,Nelson Entertainment,0
9078,The Sword in the Stone,Mirage,22182353
8367,Robin Hood: Prince of Thieves,Universal Studios,390493908
12092,Alice in Wonderland,Canal Plus,572000000
55058,Love Is All There Is,Can I Watch,0
10938,Beautiful Thing,Islet,1500000
11412,The Long Kiss Goodnight,KPVI,89456761
9716,Everyone Says I Love You,Sidley Wright & Associates,0
43777,Bitter Sugar,Spelling Entertainment,0
454,Romeo + Juliet,IRS Media,147298761
10218,Swingers,Republic Pictures (II),4505922
56830,Johns,Det Danske Filminstitut,0
31530,Shall We Dance,Costa do Castelo Filmes,0
66473,A Damsel in Distress,Neue Constantin Film,0
28120,Crossfire,House of Spirits Film,0
16372,The Innocents,PolyGram Filmproduktion,0
11575,The Great Race,Hell's Kitchen Films,25333333
11386,The Crying Game,Kouf/Bigelow Productions,62548947
25842,A Christmas Carol,Oak Productions,0
9305,Microcosmos,Nelvana Limited,0
200383,North Star,Argos Films,0
116844,Drunks,Oshima Productions,0
1630,The People vs. Larry Flynt,Shibata Organisation,20300385
11816,On Golden Pond,Renaissance Films,19255967
11843,The Return of the Pink Panther,American Playhouse Theatrical Films,41833347
2756,The Abyss,Rastar Films,90000098
11298,The Howling,Night Life Inc.,17985893
4481,Manon of the Spring,Blue Wolf,0
49688,Johnny 100 Pesos,Thin Man Films,0
79306,Snowriders,Pacific Western,2035470
356054,Curtis's Charm,Allied Filmmakers,0
10548,When We Were Kings,Platinum Pictures,2666118
18919,Faust,Mikado Film,0
31556,He Walked by Night,Lenfilm Studio,0
26167,Raw Deal,Adventure Pictures,0
218713,Here Comes Cookie,Clinica Estetico,0
217802,Love In Bloom,New South Wales Film & Television Office,0
127973,Six of a Kind,The Australian Film Commission,0
30892,The Ruling Class,Jan Chapman Productions,0
892,Delicatessen,Walrus & Associates,1794187
150823,The Shooter,Brooksfilms,0
10161,My Left Foot: The Story of Christy Brown,Hilary Henkin,14743391
10409,Strictly Ballroom,Seon Film Productions,33946224
14285,The Thin Blue Line,Romper Stomper Pty. Ltd.,0
2469,Tie Me Up! Tie Me Down!,Ruby in Paradise,0
10174,Madonna: Truth or Dare,Full Crew/Say Yea,29
510,One Flew Over the Cuckoo's Nest,David V. Picker Productions,108981275
11455,Up in Smoke,Nessa Hyams,41590893
1891,The Empire Strikes Back,Carrie Productions Inc.,538400000
2493,The Princess Bride,Société Nouvelle de Cinématographie,30857814
13446,Withnail & I,Santo Domingo Film & Music Video,0
28,Apocalypse Now,Fron Film Production,89460381
1092,The Third Man,Polar Entertainment,596349
348,Alien,Shadowlands Productions,104931801
10835,The Killer,Avenue Entertainment,0
240,The Godfather: Part II,Sarah Radclyffe Productions - Sirens Limited,47542841
600,Full Metal Jacket,British Screen Finance Ltd,46357676
530,A Grand Day Out,Samson Productions II,0
3109,The Quiet Man,Maiden Movies,0
703,Annie Hall,Robert Evans Company,38251425
9549,The Right Stuff,Shaw Brothers,21500000
37291,Trust,Columbia Pictures Industries,0
490,The Seventh Seal,Columbia Films S.A.,0
18971,Rosencrantz & Guildenstern Are Dead,Walt Disney,0
696,Manhattan,Nintendo,39946780
826,The Bridge on the River Kwai,Rhombus Media,27200000
828,The Day the Earth Stood Still,Tim Burton Productions,0
3090,The Treasure of the Sierra Madre,Skellington Productions Inc.,4307000
5925,The Great Escape,Davis-Films,11744471
11778,The Deer Hunter,August Entertainment,50000000
8428,Pump up the Volume,Turner Pictures (I),11541758
149,Akira,Keystone Film Company (II),553171
3034,Young Frankenstein,DD Productions,86273333
914,The Great Dictator,CNCAIMC,11000000
288,High Noon,Some Film,8000000
2640,Heathers,El Deseo S.A.,1108462
16633,Somewhere in Time,Channel 4 Television,0
11314,Koyaanisqatsi,SVT Drama,1723872
15143,Some Kind of Wonderful,Nordisk Film,18553948
89,Indiana Jones and the Last Crusade,Svensk Filmindustri (SF),474171806
10322,Being There,Svenska Filminstitutet (SFI),30177511
12104,Pink Floyd: The Wall,Swelter Films,22244207
625,The Killing Fields,Buckeye Films,34700291
2323,Field of Dreams,King World Entertainment,84431625
41801,Female Perversions,Columbia Pictures Television,0
348138,Breathing Room,Telling Pictures,0
61536,I'm Not Rappaport,Sacher Film,0
331367,Kids of Survival,Banfilm,0
8077,Alien³,Oscar Kramer S.A.,159773545
814,An American Werewolf in London,Aura Film,31973249
41671,Amityville: It's About Time,Mojame S.A.,0
33519,Amityville: A New Generation,Hughes Entertainment,0
32076,The Believers,T2 Productions,18753438
37843,Blood Beach,Shapiro-Glickenhaus Entertainment,0
30346,The Body Snatcher,The Guber-Peters Company,0
13549,Burnt Offerings,Strong Heart/Demme Production,0
9529,Candyman,Walt Disney Productions,25792310
11349,Cape Fear,Walt Disney Animation Studios,0
7340,Carrie,Silver Screen Partners IV,33800000
6217,Cat People,RKO Radio Pictures,0
794,The Omen,Sodaperaga Productions,60922980
8744,Albino Alligator,Fontaine Sarl,0
25189,The Mirror Has Two Faces,Warner Brothers/Seven Arts,0
2212,Nightwatch,Long Shong Pictures,1179002
12498,Sling Blade,Ubu Productions,24444121
53234,Identification of a Woman,Fox 2000 Pictures,0
21539,The Preacher's Wife,Rosa Productions,48093211
1573,Die Hard 2,Canadian Film Development Corporation (CFDC),240031094
172,Star Trek V: The Final Frontier,Trans Atlantic Entertainment,70200000
157,Star Trek III: The Search for Spock,The Chess Club,87000000
