id,runtime,release_year,title
11907,104,1994,Nobody Loves Me
10874,100,1996,Muppet Treasure Island
89333,95,1995,Catwalk
96357,110,1995,Headless Body in Topless Bar
197,177,1995,Braveheart
103,114,1976,Taxi Driver
33542,91,1995,Rumble in the Bronx
43566,108,1996,Before and After
71754,114,1995,Margaret's Museum
43612,106,1995,Happiness Is in the Field
51352,117,1995,Anne Frank Remembered
16934,99,1995,The Young Poisoner's Handbook
10324,92,1996,If Lucy Fell
78406,113,1995,Steal Big Steal Little
55731,100,1996,Race the Sun
32119,90,1992,The Boys of St. Vincent
11066,117,1992,Boomerang
11104,102,1994,Chungking Express
37975,113,1995,The Star Maker
2074,92,1996,Flirting with Disaster
27793,95,1994,The Neverending Story III: Escape from Fantasia
44284,116,1994,The Silences of the Palace
290157,87,1995,Jupiter's Wife
110972,95,1996,Pie in the Sky
32622,99,1995,Angela
73067,101,1995,Frankie Starlight
11863,95,1995,Jade
55475,102,1995,Nueba Yol
124636,87,1995,Sonic Outlaws
9101,92,1996,Down Periscope
123360,97,1995,From the Journals of Jean Seberg
5757,86,1995,Man of the Year
39428,91,1995,The Neon Bible
124639,122,1995,Target
9302,119,1996,Up Close & Personal
11000,117,1996,The Birdcage
249882,125,1995,Virgin Mary
16388,98,1995,The Brothers McMullen
9737,118,1995,Bad Boys
30765,81,1995,The Amazing Panda Adventure
10474,102,1995,The Basketball Diaries
22279,113,1995,An Awfully Big Adventure
30157,105,1994,Amateur
568,140,1995,Apollo 13
11780,139,1995,Rob Roy
34996,82,1995,The Addiction
414,121,1995,Batman Forever
649,101,1967,Belle de Jour
1873,100,1995,Beyond Rangoon
5894,83,1995,Blue in the Face
1775,91,1995,Canadian Bacon
8839,100,1995,Casper
20649,128,1995,Clockers
10329,109,1995,Congo
8963,116,1995,Crimson Tide
26564,119,1994,Crumb
8068,104,1995,Desperado
8512,102,1995,Devil in a Blue Dress
1572,128,1995,Die Hard: With a Vengeance
13552,80,1995,The Doom Generation
259209,116,1995,Feast of July
6520,134,1995,First Knight
9073,95,1995,Free Willy 2 - The Adventure Home
10428,107,1995,Hackers
17447,92,1995,Jeffrey
9886,97,1995,Johnny Mnemonic
9482,96,1995,Judge Dredd
19326,88,1995,Jury Duty
9344,91,1995,Kids
9071,89,1995,Living in Oblivion
8973,119,1995,Lord of Illusions
15730,100,1993,Love & Human Remains
47608,95,1995,Mad Love
2293,94,1995,Mallrats
9070,92,1995,Mighty Morphin Power Rangers: The Movie
68274,100,1995,Moonlight and Valentino
48787,95,1995,Mute Witness
34574,93,1994,Nadja
1642,114,1995,The Net
11472,103,1995,Nine Months
36196,94,1995,Party Girl
11980,98,1995,The Prophecy
58372,91,1995,Reckless
32646,119,1995,Safe
10533,135,1995,The Scarlet Letter
56088,93,1995,The Show
10802,128,1995,Showgirls
10149,112,1995,Smoke
18402,106,1995,Something to Talk About
9348,108,1995,Species
139408,109,1995,The Stars Fell on Henrietta
281,145,1995,Strange Days
5967,91,1964,The Umbrellas of Cherbourg
79593,99,1995,The Tie That Binds
47939,115,1995,Three Wishes
36834,111,1995,Total Eclipse
9090,105,1995,"To Wong Foo, Thanks for Everything! Julie Newmar"
3512,100,1995,Under Siege 2: Dark Territory
52856,93,1995,Unstrung Heroes
77350,73,1995,Unzipped
9560,103,1995,A Walk in the Clouds
9804,135,1995,Waterworld
31611,89,1995,White Man's Burden
65796,98,1995,Wild Bill
49805,97,1994,The Browning Version
26258,90,1995,Bushwhacked
50797,135,1994,Burnt by the Sun
19155,113,1994,Before the Rain
76,105,1995,Before Sunrise
11017,89,1995,Billy Madison
37141,90,1995,The Babysitter
9382,115,1995,Boys on the Side
6715,97,1995,The Cure
18256,95,1995,Castle Freak
22625,103,1995,Circle of Friends
2292,92,1994,Clerks
1909,97,1994,Don Juan DeMarco
8984,123,1994,Disclosure
61813,0,1995,Dream Man
4954,101,1994,Drop Zone
62488,0,1995,Destiny Turns on the Radio
10531,103,1994,Death and the Maiden
11929,132,1995,Dolores Claiborne
8467,107,1994,Dumb and Dumber
10451,123,1994,Eat Drink Man Woman
20156,103,1994,Exotica
18395,113,1994,Exit to Eden
522,127,1994,Ed Wood
397,111,1995,French Kiss
10525,101,1995,Forget Paris
27985,87,1995,Far from Home: The Adventures of Yellow Dog
15789,78,1995,A Goofy Movie
27303,103,1995,Hideaway
21183,96,1995,Fluke
10954,111,1994,Farinelli
47867,90,1995,Gordy
43475,77,1995,Gumby: The Movie
72031,109,1994,The Glass Shield
14275,171,1994,Hoop Dreams
1024,99,1994,Heavenly Creatures
17207,113,1995,Houseguest
13701,121,1994,Immortal Beloved
14819,100,1995,Heavyweights
32631,106,1995,The Hunted
11777,100,1994,I.Q.
628,123,1994,Interview with the Vampire
87729,139,1995,Jefferson in Paris
18713,82,1995,The Jerky Boys
6280,109,1994,Junior
9061,102,1995,Just Cause
37108,89,1995,A Kid in King Arthur's Court
6071,101,1995,Kiss of Death
11,121,1977,Star Wars
9587,115,1994,Little Women
19101,97,1995,A Little Princess
49980,101,1994,Ladybird Ladybird
17961,100,1994,L'Enfer
18183,105,1992,Like Water for Chocolate
4476,133,1994,Legends of the Fall
11008,95,1995,Major Payne
47504,98,1994,Little Odessa
32325,92,1994,Mi Vida Loca
43742,108,1994,Love Affair
28313,106,1995,Losing Isaiah
11318,107,1994,The Madness of King George
3036,123,1994,Mary Shelley's Frankenstein
40490,96,1995,Man of the House
24070,97,1994,Mixed Nuts
8986,108,1994,Milk Money
10510,114,1994,Miracle on 34th Street
17402,95,1995,Miami Rhapsody
38722,128,1995,My Family
8438,122,1995,Murder in the First
11593,110,1994,Nobody's Fool
1945,112,1994,Nell
39310,98,1995,New Jersey Drive
109560,93,1993,New York Cop
56428,89,1994,Beyond Bedlam
63105,83,1995,Nemesis 2 - Nebula
131957,100,1995,Nina Takes a Lover
241,119,1994,Natural Born Killers
9058,115,1994,Only You
527,99,1994,Once Were Warriors
18220,106,1996,Poison Ivy II: Lily
6950,127,1995,Outbreak
101,110,1994,Leon: The Professional
63020,113,1995,The Perez Family
2307,94,1995,A Pyromaniac's Love Story
680,154,1994,Pulp Fiction
41478,124,1995,Panther
25296,105,1992,Pushing Hands
40156,98,1994,Priest
11450,133,1994,Quiz Show
30304,94,1995,Picture Bride
10452,162,1994,Queen Margot
12106,107,1995,The Quick and the Dead
161495,108,1995,Roommates
3586,133,1994,Prêt-à-Porter
110,99,1994,Three Colors: Red
108,98,1993,Three Colors: Blue
109,91,1994,Three Colors: White
159185,111,1994,"Red Firecracker, Green Firecracker"
36357,85,1995,Rent-a-Kid
92769,90,1995,Relative Fear
28033,95,1995,Stuart Saves His Family
22586,89,1994,The Swan Princess
14334,97,1994,The Secret of Roan Inish
2636,110,1994,The Specialist
2164,121,1994,Stargate
11395,97,1994,The Santa Clause
278,142,1994,The Shawshank Redemption
9905,92,1994,Shallow Grave
87078,96,1993,Suture
12527,108,1993,Strawberry and Chocolate
20306,101,1994,Swimming with Sharks
36614,100,1994,The Sum of Us
27993,91,1995,Senior Trip
31439,125,1994,To Live
9067,98,1995,Tank Girl
9059,92,1995,Tales from the Crypt: Demon Knight
193,118,1994,Star Trek: Generations
25066,98,1995,Tales from the Hood
46797,115,1994,Tom & Viv
12122,99,1995,Village of the Damned
11381,97,1995,Tommy Boy
32636,119,1994,Vanya on 42nd Street
36141,99,1995,The Underneath
95963,88,1995,The Walking Dead
1587,118,1993,What's Eating Gilbert Grape
9271,106,1995,Virtuosity
2064,103,1995,While You Were Sleeping
19855,126,1994,The War
60855,87,1994,Double Happiness
236,106,1994,Muriel's Wedding
48287,94,1995,The Baby-Sitters Club
3049,86,1994,Ace Ventura: Pet Detective
2759,104,1994,"The Adventures of Priscilla, Queen of the Desert"
12635,100,1994,Backbeat
10497,139,1992,Bitter Moon
11382,98,1994,Bullets Over Broadway
9331,141,1994,Clear and Present Danger
10731,119,1994,The Client
10464,115,1994,"Corrina, Corrina"
34152,115,1994,Crooklyn
9495,102,1994,The Crow
29973,128,1994,Cobb
888,91,1994,The Flintstones
13,142,1994,Forrest Gump
712,117,1994,Four Weddings and a Funeral
16295,127,1995,Higher Learning
48992,104,1994,I Like It Like That
10879,123,1994,I Love Trouble
10660,101,1994,It Could Happen to You
10714,111,1994,The Jungle Book
41647,180,1993,"The Wonderful, Horrible Life of Leni Riefenstahl"
8587,89,1994,The Lion King
1689,140,1993,Little Buddha
11596,112,1994,New Nightmare
854,101,1994,The Mask
9359,127,1994,Maverick
23333,125,1994,Mrs. Parker and the Vicious Circle
36593,83,1994,The Naked Gun 33⅓: The Final Insult
12280,112,1994,The Paper
2788,99,1994,Reality Bites
10427,98,1993,Red Rock West
11011,95,1994,Ri¢hie Ri¢h
49803,98,1994,Safe Passage
8987,111,1994,The River Wild
1637,116,1994,Speed
15128,99,1994,Speechless
8831,99,1994,Timecop
36955,141,1994,True Lies
10449,126,1994,When a Man Loves a Woman
10395,125,1994,Wolf
12160,191,1994,Wyatt Earp
40480,108,1995,Bad Company
52038,99,1994,A Man of No Importance
29444,96,1994,S.F.W.
26352,100,1994,A Low Down Dirty Shame
39953,91,1994,"Boys Life: Three Stories of Love, Lust, and Liberation"
41580,110,1994,Colonel Chabert
315,83,1965,"Faster, Pussycat! Kill! Kill!"
22067,119,1994,Jason's Lyric
18242,61,1993,The Secret Adventures of Tom Thumb
11667,102,1994,Street Fighter
32502,92,1995,Coldblooded
267188,97,1997,Desert Winds
28732,88,1995,Fall Time
75555,98,1995,The Fear
42981,89,1995,Frank and Ollie
278939,89,1995,Girl in the Cadillac
291731,97,1995,Homage
226229,92,1995,Mirage
203119,97,1996,Open Season
172923,0,1995,Dos Crímenes
316098,115,1995,Brother Minister: The Assassination of Malcolm X
8011,99,1994,Highlander: The Final Dimension
171857,97,1995,Federal Hill
2654,95,1994,In the Mouth of Madness
18069,105,1994,8 Seconds
19092,96,1994,Above the Rim
2758,94,1993,Addams Family Values
38129,84,1994,Martin Lawrence: You So Crazy
10436,139,1993,The Age of Innocence
13595,92,1994,Airheads
46094,107,1994,The Air Up There
9409,105,1993,Another Stakeout
11853,99,1994,Bad Girls
16771,100,1994,Barcelona
46924,122,1994,Being Human
11041,93,1993,The Beverly Hillbillies
306,104,1994,Beverly Hills Cop III
14522,88,1994,Black Beauty
26203,106,1994,Blink
178,121,1994,Blown Away
19819,108,1994,Blue Chips
57834,101,1994,Blue Sky
4722,87,1993,Body Snatchers
18215,107,1993,Boxing Helena
1607,121,1993,A Bronx Tale
26391,80,1994,Cabin Boy
117553,90,1993,Calendar Girl
6075,144,1993,Carlito's Way
11310,116,1994,City Slickers II: The Legend of Curly's Gold
18658,107,1994,Clean Slate
9350,112,1993,Cliffhanger
9612,88,1993,Coneheads
2124,121,1994,Color of Night
26261,93,1994,Cops & Robbersons
19176,102,1994,The Cowboy Way
49299,108,1993,Dangerous Game
11566,110,1993,Dave
9571,102,1993,Dazed and Confused
9739,115,1993,Demolition Man
24257,109,1994,The Endless Summer 2
34444,96,1994,Even Cowgirls Get the Blues
26141,91,1993,Fatal Instinct
10997,171,1993,Farewell My Concubine
50463,97,1994,The Favor
10443,122,1993,Fearless
20239,88,1994,Fear of a Black Hat
16297,103,1994,With Honors
18551,126,1993,Flesh and Bone
25440,101,1994,Widows' Peak
9024,94,1993,For Love or Money
37233,154,1993,The Firm
1634,112,1993,Free Willy
13815,114,1994,Fresh
5503,130,1993,The Fugitive
35588,115,1993,Geronimo: An American Legend
2087,115,1994,The Getaway
41579,109,1994,Getting Even with Dad
18620,83,1994,Go Fish
41006,94,1994,A Good Man in Africa
4916,107,1993,Guilty as Sin
2019,97,1993,Hard Target
31642,140,1993,Heaven & Earth
9255,86,1993,Hot Shots! Part Deux
26271,95,1995,Live Nude Girls
10612,99,1995,The Englishman Who Went Up a Hill But Came Down a Mountain
2259,140,1993,The House of the Spirits
16097,100,1994,House Party 3
11934,111,1994,The Hudsucker Proxy
106143,115,1994,I'll Do Anything
12475,91,1994,In the Army Now
9386,128,1993,In the Line of Fire
7984,133,1993,In the Name of the Father
59930,110,1994,The Inkwell
15765,118,1993,What's Love Got to Do with It
31643,112,1994,Jimmy Hollywood
6,110,1993,Judgment Night
329,127,1993,Jurassic Park
10909,117,1993,Kalifornia
507,96,1993,Killing Zoe
34024,103,1993,King of the Hill
29918,94,1994,Lassie
9593,130,1993,Last Action Hero
42580,91,1993,Life With Mikey
22317,98,1994,Lightning Jack
1413,101,1993,M. Butterfly
12121,111,1993,Made in America
2246,107,1993,Malice
10502,114,1993,The Man without a Face
10440,104,1993,Manhattan Murder Mystery
9516,97,1993,Menace II Society
2320,133,1996,Executive Decision
5879,105,1976,In the Realm of the Senses
83718,91,1994,What Happened Was...
11971,111,1993,Much Ado About Nothing
2625,114,1993,Mr. Jones
31911,98,1993,Mr. Wonderful
788,125,1993,Mrs. Doubtfire
21450,131,1993,Naked
11231,107,1994,The Next Karate Kid
41588,112,1994,The New Age
10447,118,1994,No Escape
31586,87,1994,North
9300,93,1992,Orlando
9559,138,1993,A Perfect World
9800,125,1993,Philadelphia
713,121,1993,The Piano
8291,109,1993,Poetic Justice
18133,112,1993,The Program
25557,109,1994,The Puppet Masters
22588,108,1994,Radioland Murders
10872,97,1994,The Ref
1245,134,1993,The Remains of the Day
11858,128,1994,Renaissance Man
7007,125,1993,Rising Sun
10467,118,1994,The Road to Wellville
5550,104,1993,RoboCop 3
8005,104,1993,Robin Hood: Men in Tights
2088,100,1993,Romeo Is Bleeding
10412,94,1992,Romper Stomper
47889,114,1993,Ruby in Paradise
14534,114,1993,Rudy
56583,99,1993,The Saint of Fort Washington
41878,126,1992,Savage Nights
424,195,1993,Schindler's List
35233,101,1994,The Scout
14291,110,1993,Searching for Bobby Fischer
103413,105,1994,Second Best
11236,102,1993,The Secret Garden
11592,95,1994,Serial Mom
8850,108,1994,The Shadow
10445,131,1993,Shadowlands
695,187,1993,Short Cuts
43535,106,1994,A Simple Twist of Fate
12519,98,1993,Sirens
23210,112,1993,Six Degrees of Separation
858,105,1993,Sleepless in Seattle
867,108,1993,Sliver
78,117,1982,Blade Runner
13203,95,1993,Son in Law
10442,93,1993,So I Married an Axe Murderer
11074,102,1993,Striking Distance
33367,113,1985,Harem
9607,104,1993,Super Mario Bros.
17585,96,1994,Surviving the Game
9057,102,1994,Terminal Velocity
20967,93,1993,Thirty Two Short Films About Glenn Gould
10635,93,1994,Threesome
9479,76,1993,The Nightmare Before Christmas
10057,105,1993,The Three Musketeers
11969,130,1993,Tombstone
41590,107,1994,Trial by Jury
319,120,1993,True Romance
26408,96,1993,The War Room
15139,80,1994,The Pagemaster
161158,112,1994,"Paris, France"
218473,0,1994,"The Beans of Egypt, Maine"
85247,97,1994,Killer
11446,88,1995,Welcome to the Dollhouse
51980,160,1993,Germinal
24405,102,1994,Chasers
11655,94,1993,Cronos
11800,95,1993,Naked in New York
8223,117,1993,Kika
14587,100,1994,Bhaji on the Beach
31504,119,1994,Little Big League
41653,102,1993,The Slingshot
53185,102,1993,Wide Eyed and Legless
95743,90,1994,Foreign Student
23637,100,1992,"Ciao, Professore!"
17600,106,1994,Spanking the Monkey
10897,82,1994,The Little Rascals
349394,82,1993,À la mode
21352,94,1994,Andre
68806,92,1993,The Escort
37345,97,1994,Princess Caraboo
32562,102,1996,The Celluloid Closet
47507,94,1993,Café au Lait
25403,100,1993,Dear Diary
124304,106,1993,I Don't Want to Talk About It
9066,84,1995,The Brady Bunch Movie
771,103,1990,Home Alone
251,127,1990,Ghost
812,90,1992,Aladdin
280,137,1991,Terminator 2: Judgment Day
581,181,1990,Dances with Wolves
80350,92,1995,Tough and Deadly
268,126,1989,Batman
274,119,1991,The Silence of the Lambs
408,83,1937,Snow White and the Seven Dwarfs
10020,84,1991,Beauty and the Beast
10895,88,1940,Pinocchio
114,119,1990,Pretty Woman
41043,87,1993,Window to Paris
576,145,1969,The Wild Bunch
15477,101,1994,Love and a .45
59146,113,1994,The Wooden Man's Bride
124472,60,1994,A Great Day in Harlem
30528,106,1995,Bye Bye Love
7300,108,1996,One Fine Day
10824,93,1995,Candyman: Farewell to the Flesh
261246,112,1993,Century
275,98,1996,Fargo
25059,89,1996,Homeward Bound II: Lost in San Francisco
11827,90,1981,Heavy Metal
8766,86,1996,Hellraiser: Bloodline
23570,97,1996,The Pallbearer
47333,112,1996,Jane Eyre
54850,91,1996,Loaded
51242,100,1974,Bread and Chocolate
10112,78,1970,The Aristocats
4307,107,1995,The Flower of My Secret
46029,118,1996,Two Much
32308,94,1996,Ed
88893,105,1991,Scream of Stone
52873,127,1993,My Favorite Season
123505,90,1996,A Modern Affair
340210,83,1995,Condition Red
44281,98,1990,Halfaouine: Boy of the Terraces
28121,108,1996,A Thin Line Between Love and Hate
12520,92,1995,The Last Supper
1592,129,1996,Primal Fear
166901,89,1995,Rude
36447,109,1996,Carried Away
19042,82,1996,All Dogs Go to Heaven 2
38884,109,1995,Land and Freedom
47449,80,1995,Denise Calls Up
36259,92,1995,Theodore Rex
41852,109,1996,A Family Thing
40926,88,1996,Frisk
9099,90,1996,Sgt. Bilko
2021,110,1995,Jack & Sarah
61752,108,1996,Girl 6
10988,107,1996,Diabolique
11479,90,1994,"Little Indian, Big City"
398959,97,1995,Roula
12652,106,1996,Nelly and Monsieur Arnaud
10684,117,1996,Courage Under Fire
954,110,1996,Mission: Impossible
68445,85,1995,Cold Fever
18989,123,1996,Moll Flanders
10801,86,1996,The Superwife
54285,100,1995,"301, 302"
8840,103,1996,DragonHeart
124625,93,1995,My Mother's Courage
11107,100,1996,Eddie
16417,100,1993,Yankee Zulu
70934,92,1995,Billy's Holiday
10363,115,1960,Purple Noon
161070,94,1996,August
10539,79,1996,James and the Giant Peach
10543,97,1996,Fear
18414,89,1996,Kids in the Hall: Brain Candy
47502,91,1996,Faithful
11902,170,1995,Underground
27098,130,1995,All Things Fair
25087,90,1996,Bloodsport II
5801,125,1955,Pather Panchali
896,117,1959,The World of Apu
3065,73,1996,Mystery Science Theater 3000: The Movie
318177,100,1996,Tarantella
2300,88,1996,Space Jam
8069,98,1968,Barbarella
288173,90,1995,Hostile Intentions
187851,98,1996,They Bite
27768,25,1994,Some Folks Call It a Sling Blade
221917,0,1995,The Run of the Country
8072,100,1965,Alphaville
35797,128,1981,Coup de Torchon
88030,75,1994,Tigrero: A Film That Was Never Made
185191,110,1993,The Eye of Vichy
83857,96,1980,Windows
33245,110,1996,It's My Party
124460,118,1994,Country Life
27281,107,1995,Operation Dumbo Drop
105045,115,1995,The Promise
40001,105,1996,Mrs. Winterbourne
29621,94,1996,Solo
117730,0,1994,Under The Domim Tree
20762,114,1996,The Substitute
37144,94,1996,True Crime
48260,88,1995,Butterfly Kiss
12656,99,1996,Feeling Minnesota
38867,99,1995,Delta of Venus
277270,0,1991,To Cross the Rubicon
25969,90,1995,Angus
44103,138,1992,Priest Daens
753,130,1968,Faces
43634,86,1996,Boys
9103,95,1996,The Quest
90214,102,1996,Cosi
29649,99,1996,Sunset Park
10990,107,1996,Mulholland Falls
8866,93,1996,The Truth About Cats & Dogs
12233,74,1988,Oliver & Company
23449,91,1996,Celtic Pride
36355,95,1996,Flipper
37667,100,1994,Captives
90148,103,1994,Of Love and Shadows
922,121,1995,Dead Man
11876,135,1995,The Horseman on the Roof
52633,91,1975,Switchblade Sisters
62364,106,1995,Mouth to Mouth
11687,107,1993,The Visitors
9304,117,1996,Multiplicity
73183,112,1996,"The Haunted World of Edward D. Wood, Jr."
131232,86,2002,Two Friends
9100,101,1996,The Craft
20759,91,1996,The Great White Hype
46063,103,1996,Last Dance
32513,95,1995,Cold Comfort Farm
40651,104,1995,"Institute Benjamenta, or This Dream People Call Human Life"
36915,132,1996,Heaven's Prisoners
40507,99,1996,Original Gangstas
9802,136,1996,The Rock
25697,91,1996,Getting Away with Murder
21588,105,1994,Cemetery Man
664,113,1996,Twister
11867,98,1996,Barb Wire
47119,102,1995,Le Garçu
314352,92,1996,Honeymoon
9323,83,1995,Ghost in the Shell
10280,92,1996,Thinner
10535,81,1996,Spy Hard
124613,102,1995,Brothers in Trouble
532,30,1995,A Close Shave
26744,78,1948,Force of Evil
16299,94,1996,The Stupids
10547,115,1996,The Arrival
245268,103,1943,The Man from Down Under
935,95,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
55613,100,1992,Careful
41007,92,1995,A Month by the Lake
35645,94,1995,Gold Diggers: The Secret of Bear Mountain
110465,113,1950,Kim
255546,91,1995,Carmen Miranda: Bananas Is My Business
40751,100,1994,Ashes of Time
275096,86,1994,The Jar
85778,105,1995,Maya Lin: A Strong Clear Vision
11101,134,1993,Stalingrad
9826,100,1996,The Phantom
9879,115,1996,Striptease
63564,102,1996,The Last of the High Kings
22621,105,1995,Heavy
7095,113,1996,Jack
26890,103,1996,I Shot Andy Warhol
46732,107,1995,The Grass Harp
124633,96,1995,Someone Else's America
202425,80,1987,Life is Rosy
196940,80,1992,Quartier Mozart
77771,85,1973,Touki Bouki
181083,75,1982,God's Gift
41225,121,1968,Spirits of the Dead
188589,109,1994,Babyfever
87190,90,1995,Pharaoh's  Army
627,93,1996,Trainspotting
32872,113,1997,Til There Was You
602,145,1996,Independence Day
14553,116,1996,Stealing Beauty
9566,116,1996,The Fan
10545,91,1996,The Hunchback of Notre Dame
9894,96,1996,The Cable Guy
11543,113,1996,Kingpin
9268,115,1996,Eraser
52059,180,1995,The Gate of Heavenly Peace
9327,95,1996,The Nutty Professor
123763,105,1990,"I, the Worst of All"
81949,82,1994,An Unforgettable Summer
42005,97,1987,A Hungarian Fairy Tale
124306,90,1993,My Life and Times With Antonin Artaud
183955,100,1994,Midnight Dancers
44535,102,1994,Somebody to Love
44495,80,1974,A Very Natural Thing
78285,0,1991,The Old Lady Who Walked in the Sea
11228,115,1996,Daylight
10779,110,1996,The Frighteners
26748,135,1996,Lone Star
38223,100,1996,Harriet the Spy
9294,123,1996,Phenomenon
49963,86,1996,Walking and Talking
11363,96,1996,She's the One
1645,149,1996,A Time to Kill
31546,88,1996,American Buffalo
77056,94,1995,Rendezvous in Paris
36344,109,1996,Alaska
18550,98,1996,Fled
11511,93,1996,Kazaam
172198,106,1994,Magic Hunter
34170,93,1996,Larger Than Life
281085,0,1996,A Boy Called Hate
109478,89,1996,Power 98
124645,102,1995,Two Deaths
12606,90,1996,A Very Brady Sequel
69895,82,1993,Stefano Quantestorie
35206,104,1956,Death in the Garden
151489,123,1992,Hedd Wyn
4837,89,1967,La Collectionneuse
12632,139,1993,Kaspar Hauser
9098,100,1996,Regular Guys
124614,91,1995,The Convent
18975,90,1996,The Adventures of Pinocchio
11962,78,1996,Joe's Apartment
2925,102,1996,The First Wives Club
28628,99,1995,Stonewall
3595,117,1996,Ransom
9308,86,1996,High School High
92381,89,1996,Phat Beach
18555,102,1996,Foxfire
12123,107,1996,Chain Reaction
10830,98,1996,Matilda
3573,121,1996,Emma
10546,84,1996,The Crow: City of Angels
18862,108,1996,House Arrest
31417,90,1960,Eyes Without a Face
9431,87,1996,Bordello of Blood
124619,87,1995,Lotto Land
297645,90,1994,The Story of Xinghua
48144,99,1994,The Day the Sun Turned Cold
46986,85,1995,Flirt
144982,98,1996,The Big Squeeze
47907,117,1996,The Spitfire Grill
10061,97,1996,Escape from L.A.
36266,123,1995,Cyclo
549,108,1996,Basquiat
10478,135,1996,Tin Cup
66634,109,1991,Dingo
116690,98,1958,The Ballad of Narayama
213917,104,1990,Every Other Weekend
145925,0,1993,Mille bolle blu
100914,113,1949,Crows and Sparrows
238,175,1972,The Godfather
159,90,1994,Maybe... Maybe Not
11134,95,1992,Police Story 3: Supercop
88224,88,1996,Manny & Lo
132641,89,1953,Wife
42758,108,1996,Small Faces
9303,108,1996,Bound
23945,89,1996,Carpool
37820,109,1990,Death in Brunswick
22479,116,1996,Kansas City
9054,94,1997,Gone Fishin'
241058,82,1996,Lover's Knot
11985,118,1994,Vive L'Amour
10232,101,1976,Shadow of Angels
59569,91,1996,Killer: A Journal of Murder
410921,0,1994,Nothing to Lose
38955,104,1993,Project S
110513,90,1996,Girls Town
114089,104,1995,Bye-Bye
11015,110,1997,The Relic
9306,96,1996,The Island of Dr. Moreau
12559,101,1996,First Kid
58770,94,1996,The Trigger Effect
124851,89,1995,Sweet Nothing
3587,110,1996,Bogus
10723,84,1996,Bulletproof
56077,96,1998,Talk of Angels
