id,original_language,title
51242,it,Bread and Chocolate
10112,en,The Aristocats
4307,es,The Flower of My Secret
46029,en,Two Much
46029,en,Two Much
32308,en,Ed
88893,de,Scream of Stone
52873,fr,My Favorite Season
123505,en,A Modern Affair
340210,en,Condition Red
44281,en,Halfaouine: Boy of the Terraces
44281,en,Halfaouine: Boy of the Terraces
44281,en,Halfaouine: Boy of the Terraces
28121,en,A Thin Line Between Love and Hate
12520,en,The Last Supper
1592,en,Primal Fear
166901,en,Rude
36447,en,Carried Away
19042,en,All Dogs Go to Heaven 2
38884,en,Land and Freedom
38884,en,Land and Freedom
38884,en,Land and Freedom
38884,en,Land and Freedom
38884,en,Land and Freedom
47449,en,Denise Calls Up
36259,en,Theodore Rex
41852,en,A Family Thing
40926,en,Frisk
9099,en,Sgt. Bilko
2021,en,Jack & Sarah
2021,en,Jack & Sarah
61752,en,Girl 6
10988,en,Diabolique
11479,fr,"Little Indian, Big City"
398959,de,Roula
287305,de,Peanuts – Die Bank zahlt alles
339428,de,Happy Weekend
12652,fr,Nelly and Monsieur Arnaud
12652,fr,Nelly and Monsieur Arnaud
12652,fr,Nelly and Monsieur Arnaud
10684,en,Courage Under Fire
954,en,Mission: Impossible
68445,de,Cold Fever
68445,de,Cold Fever
68445,de,Cold Fever
68445,de,Cold Fever
68445,de,Cold Fever
18989,en,Moll Flanders
10801,de,The Superwife
54285,ko,"301, 302"
8840,en,DragonHeart
278978,de,Und keiner weint mir nach
124625,de,My Mother's Courage
124625,de,My Mother's Courage
124625,de,My Mother's Courage
124625,de,My Mother's Courage
11107,en,Eddie
16417,en,Yankee Zulu
70934,en,Billy's Holiday
10363,fr,Purple Noon
10363,fr,Purple Noon
161070,en,August
161070,en,August
10539,en,James and the Giant Peach
10543,en,Fear
18414,en,Kids in the Hall: Brain Candy
18414,en,Kids in the Hall: Brain Candy
47502,en,Faithful
11902,sr,Underground
11902,sr,Underground
11902,sr,Underground
11902,sr,Underground
11902,sr,Underground
27098,sv,All Things Fair
27098,sv,All Things Fair
25087,en,Bloodsport II
5801,bn,Pather Panchali
896,bn,The World of Apu
3065,en,Mystery Science Theater 3000: The Movie
318177,en,Tarantella
2300,en,Space Jam
8069,en,Barbarella
288173,en,Hostile Intentions
187851,en,They Bite
27768,en,Some Folks Call It a Sling Blade
221917,en,The Run of the Country
221917,en,The Run of the Country
8072,fr,Alphaville
8072,fr,Alphaville
35797,fr,Coup de Torchon
88030,en,Tigrero: A Film That Was Never Made
185191,en,The Eye of Vichy
83857,en,Windows
33245,en,It's My Party
124460,en,Country Life
27281,en,Operation Dumbo Drop
105045,de,The Promise
40001,en,Mrs. Winterbourne
29621,en,Solo
29621,en,Solo
117730,he,Under The Domim Tree
20762,en,The Substitute
37144,en,True Crime
12656,en,Feeling Minnesota
38867,en,Delta of Venus
277270,en,To Cross the Rubicon
25969,en,Angus
44103,nl,Priest Daens
753,en,Faces
43634,en,Boys
9103,en,The Quest
9103,en,The Quest
90214,en,Cosi
29649,en,Sunset Park
10990,en,Mulholland Falls
8866,en,The Truth About Cats & Dogs
12233,en,Oliver & Company
23449,en,Celtic Pride
36355,en,Flipper
37667,en,Captives
37667,en,Captives
90148,en,Of Love and Shadows
90148,en,Of Love and Shadows
922,en,Dead Man
922,en,Dead Man
922,en,Dead Man
11876,en,The Horseman on the Roof
52633,en,Switchblade Sisters
62364,es,Mouth to Mouth
11687,fr,The Visitors
9304,en,Multiplicity
73183,en,"The Haunted World of Edward D. Wood, Jr."
131232,en,Two Friends
9100,en,The Craft
20759,en,The Great White Hype
46063,en,Last Dance
32513,en,Cold Comfort Farm
40651,en,"Institute Benjamenta, or This Dream People Call Human Life"
40651,en,"Institute Benjamenta, or This Dream People Call Human Life"
40651,en,"Institute Benjamenta, or This Dream People Call Human Life"
36915,en,Heaven's Prisoners
36915,en,Heaven's Prisoners
40507,en,Original Gangstas
9802,en,The Rock
25697,en,Getting Away with Murder
25697,en,Getting Away with Murder
21588,it,Cemetery Man
21588,it,Cemetery Man
21588,it,Cemetery Man
664,en,Twister
11867,en,Barb Wire
47119,fr,Le Garçu
314352,de,Honeymoon
9323,ja,Ghost in the Shell
10280,en,Thinner
10535,en,Spy Hard
124613,en,Brothers in Trouble
532,en,A Close Shave
26744,en,Force of Evil
16299,en,The Stupids
16299,en,The Stupids
10547,en,The Arrival
10547,en,The Arrival
245268,en,The Man from Down Under
935,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
935,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
55613,en,Careful
41007,en,A Month by the Lake
41007,en,A Month by the Lake
35645,en,Gold Diggers: The Secret of Bear Mountain
35645,en,Gold Diggers: The Secret of Bear Mountain
110465,en,Kim
255546,pt,Carmen Miranda: Bananas Is My Business
255546,pt,Carmen Miranda: Bananas Is My Business
40751,zh,Ashes of Time
40751,zh,Ashes of Time
275096,en,The Jar
85778,en,Maya Lin: A Strong Clear Vision
11101,de,Stalingrad
9826,en,The Phantom
9826,en,The Phantom
9879,en,Striptease
63564,en,The Last of the High Kings
22621,en,Heavy
7095,en,Jack
26890,en,I Shot Andy Warhol
26890,en,I Shot Andy Warhol
46732,en,The Grass Harp
124633,sr,Someone Else's America
124633,sr,Someone Else's America
124633,sr,Someone Else's America
124633,sr,Someone Else's America
124633,sr,Someone Else's America
202425,fr,Life is Rosy
202425,fr,Life is Rosy
202425,fr,Life is Rosy
196940,en,Quartier Mozart
77771,wo,Touki Bouki
181083,fr,God's Gift
41225,fr,Spirits of the Dead
41225,fr,Spirits of the Dead
188589,en,Babyfever
87190,en,Pharaoh's  Army
627,en,Trainspotting
32872,en,Til There Was You
602,en,Independence Day
14553,en,Stealing Beauty
14553,en,Stealing Beauty
14553,en,Stealing Beauty
9566,en,The Fan
10545,en,The Hunchback of Notre Dame
9894,en,The Cable Guy
11543,en,Kingpin
9268,en,Eraser
9268,en,Eraser
9327,en,The Nutty Professor
123763,es,"I, the Worst of All"
81949,ro,An Unforgettable Summer
81949,ro,An Unforgettable Summer
42005,en,A Hungarian Fairy Tale
124306,en,My Life and Times With Antonin Artaud
183955,en,Midnight Dancers
44535,en,Somebody to Love
78285,fr,The Old Lady Who Walked in the Sea
11228,en,Daylight
10779,en,The Frighteners
10779,en,The Frighteners
26748,en,Lone Star
38223,en,Harriet the Spy
9294,en,Phenomenon
49963,en,Walking and Talking
49963,en,Walking and Talking
49963,en,Walking and Talking
11363,en,She's the One
1645,en,A Time to Kill
31546,en,American Buffalo
31546,en,American Buffalo
77056,fr,Rendezvous in Paris
36344,en,Alaska
18550,en,Fled
11511,en,Kazaam
172198,hu,Magic Hunter
172198,hu,Magic Hunter
172198,hu,Magic Hunter
34170,en,Larger Than Life
